LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=linear_orth800_uid000327_sk3_rg1_pl0_random__107ddb35d9d7 topology=linear
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

     946 atoms
    1015 bonds
    1714 angles
    2519 dihedrals
     420 impropers

       5 atom types
       7 bond types
      12 angle types
       9 dihedral types
       1 improper types

    -60.828131      -3.826494 xlo xhi
    -74.255593      -9.725651 ylo yhi
    -31.653353      25.221506 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=282
       2     1.008000 # boss_type=HC count=140
       3    12.011000 # boss_type=CT count=70
       4    12.011000 # boss_type=CA count=420
       5    32.067000 # boss_type=S count=34

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=282
       2     0.030000     2.500000 # boss_type=HC count=140
       3     0.066000     3.500000 # boss_type=CT count=70
       4     0.070000     3.550000 # boss_type=CA count=420
       5     0.355000     3.600000 # boss_type=S count=34

Bond Coeffs

       1   317.000000     1.510000 # pattern=CA-CT
       2   469.000000     1.400000 # pattern=CA-CA
       3   340.000000     1.090000 # pattern=CT-HC
       4   367.000000     1.080000 # pattern=CA-HA
       5   250.000000     1.760000 # pattern=CA-S
       6   222.000000     1.810000 # pattern=CT-S
       7   268.000000     1.529000 # pattern=CT-CT

Angle Coeffs

       1    35.000000   109.500000 # pattern=CA-CT-HC
       2    50.000000   114.700000 # pattern=CA-CT-S
       3    33.000000   107.800000 # pattern=HC-CT-HC
       4    70.000000   120.000000 # pattern=CA-CA-CT
       5    63.000000   120.000000 # pattern=CA-CA-CA
       6    35.000000   120.000000 # pattern=CA-CA-HA
       7    65.000000    97.000000 # pattern=CA-S-CT
       8    85.000000   119.400000 # pattern=CA-CA-S
       9    73.790000   105.500000 # pattern=CA-S-CA
      10    40.000000   109.500000 # pattern=CA-CT-CA
      11    63.000000   114.000000 # pattern=CA-CT-CT
      12    37.500000   110.700000 # pattern=CT-CT-HC

Dihedral Coeffs

       1     0.000000     0.000000     0.000000     0.000000 # pattern=CA-CA-CT-HC
       2     0.000000     7.250000     0.000000     0.000000 # pattern=CA-CA-CA-CT
