LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=star_orth800_uid000787_sk10_rg0_pl0_block__6daca0033394 topology=star
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

     917 atoms
     955 bonds
    1680 angles
    2340 dihedrals
     234 impropers

       5 atom types
       7 bond types
      10 angle types
      10 dihedral types
       1 improper types

      1.361000      94.283100 xlo xhi
    -11.753600      37.469200 ylo yhi
    -56.821600       3.882500 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=159
       2     1.008000 # boss_type=HC count=301
       3    12.011000 # boss_type=CT count=151
       4    12.011000 # boss_type=CA count=234
       5    15.999000 # boss_type=OS count=72

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=159
       2     0.030000     2.500000 # boss_type=HC count=301
       3     0.066000     3.500000 # boss_type=CT count=151
       4     0.070000     3.550000 # boss_type=CA count=234
       5     0.140000     2.900000 # boss_type=OS count=72

Bond Coeffs

       1   317.000000     1.510000 # pattern=CA-CT
       2   469.000000     1.400000 # pattern=CA-CA
       3   340.000000     1.090000 # pattern=CT-HC
       4   367.000000     1.080000 # pattern=CA-HA
       5   268.000000     1.529000 # pattern=CT-CT
       6   320.000000     1.410000 # pattern=CT-OS
       7   450.000000     1.364000 # pattern=CA-OS

Angle Coeffs

       1    35.000000   109.500000 # pattern=CA-CT-HC
       2    63.000000   114.000000 # pattern=CA-CT-CT
       3    33.000000   107.800000 # pattern=HC-CT-HC
       4    37.500000   110.700000 # pattern=CT-CT-HC
       5    70.000000   120.000000 # pattern=CA-CA-CT
       6    63.000000   120.000000 # pattern=CA-CA-CA
       7    35.000000   120.000000 # pattern=CA-CA-HA
       8    58.350000   112.700000 # pattern=CT-CT-CT
       9    50.000000   109.500000 # pattern=CT-CT-OS
      10    75.000000   111.000000 # pattern=CA-OS-CT

Dihedral Coeffs

       1     0.000000     0.000000     0.000000     0.000000 # pattern=CA-CA-CT-HC
       2     0.000000     0.150000     0.000000     0.000000 # pattern=CA-CA-CT-CT
       3     0.000000     7.250000     0.000000     0.000000 # pattern=CA-CA-CA-CT
       4     0.000000     0.000000     0.300000     0.000000 # pattern=HC-CT-CT-OS
       5     1.300000    -0.500000     0.000000     0.000000 # pattern=CT-CT-CT-OS
       6     0.250000    -0.250000     0.500000     0.000000 # pattern=CA-OS-CT-CT
       7     0.000000     0.000000     0.760000     0.000000 # pattern=CA-OS-CT-HC
       8     0.000000     3.370000     0.000000     0.300000 # pattern=CA-CA-OS-CT
       9     0.000000     0.000000     0.462000     0.000000 # pattern=CA-CT-CT-HC
      10     0.850000    -0.200000     0.200000     0.000000 # pattern=CT-CT-CT-CT

Improper Coeffs

       1     2.500000  -1   2 # pattern=CA-CA-CA-CT

Atoms

       1      1      3 -0.13238500    11.419400     6.777600   -10.864300
       2      1      4 -0.06806700    10.457600     6.749000   -12.024900
       3      1      4 -0.12302500    10.260200     5.568700   -12.754100
       4      1      4 -0.13721700     9.358400     5.537600   -13.818800
       5      1      4 -0.14248400     8.643100     6.683400   -14.161300
       6      1      4 -0.13648900     8.826800     7.860600   -13.438000
       7      1      4 -0.12874500     9.728100     7.893600   -12.372900
       8      1      2  0.09518200    12.267300     6.115100   -11.080000
       9      1      2  0.09518200    11.842400     7.785500   -10.767100
      10      1      1  0.13613800    10.807500     4.664900   -12.495500
      11      1      1  0.13644600     9.212500     4.618100   -14.379700
      12      1      1  0.13461900     7.940500     6.658000   -14.990100
      13      1      1  0.13607200     8.266300     8.753400   -13.702800
      14      1      1  0.13477300     9.856800     8.818500   -11.815900
      15      1      3 -0.20754900    10.743900     6.362700    -9.558900
      16      1      3  0.00928000    11.728400     6.401900    -8.393100
      17      1      5 -0.30916900    11.100300     5.961200    -7.189700
      18      1      4  0.09784300    10.520900     6.890300    -6.373200
      19      1      4 -0.13900200    10.278900     8.228300    -6.681100
      20      1      4 -0.13906600     9.665900     9.073900    -5.744400
      21      1      4  0.09725100     9.287600     8.586200    -4.494100
      22      1      5 -0.30747300     8.687700     9.301600    -3.495900
      23      1      3  0.01141000     8.390400    10.672900    -3.762800
      24      1      3 -0.21886500     7.738900    11.258400    -2.511900
      25      1      4 -0.18315600     9.524300     7.245800    -4.190400
      26      1      4 -0.18332100    10.132500     6.403600    -5.124300
      27      1      2  0.10544600    10.327800     5.350200    -9.645100
      28      1      2  0.10544600     9.885200     7.012100    -9.350700
      29      1      2  0.10836600    12.212500     7.378900    -8.278000
      30      1      2  0.10836600    12.538800     5.690300    -8.591900
      31      1      1  0.15665300    10.543500     8.649800    -7.644600
      32      1      1  0.15636800     9.499300    10.107800    -6.027200
      33      1      2  0.10290400     9.315800    11.215500    -3.986700
      34      1      2  0.10290400     7.694600    10.746000    -4.607000
      35      1      2  0.11355900     8.459100    11.228600    -1.684400
      36      1      2  0.11355900     6.912800    10.607700    -2.197200
      37      1      1  0.14698800     9.233000     6.851600    -3.220100
      38      1      1  0.15125800    10.308100     5.360900    -4.872200
