LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=star_orth800_uid000791_sk11_rg0_pl0_block__bc4ad02bba10 topology=star
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

     909 atoms
     947 bonds
    1666 angles
    2327 dihedrals
     234 impropers

       5 atom types
       7 bond types
      10 angle types
      10 dihedral types
       1 improper types

     -5.225900      90.740200 xlo xhi
    -28.040300      34.471900 ylo yhi
    -53.689200      15.514800 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=160
       2     1.008000 # boss_type=HC count=296
       3    12.011000 # boss_type=CT count=149
       4    12.011000 # boss_type=CA count=234
       5    15.999000 # boss_type=OS count=70

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=160
       2     0.030000     2.500000 # boss_type=HC count=296
       3     0.066000     3.500000 # boss_type=CT count=149
       4     0.070000     3.550000 # boss_type=CA count=234
       5     0.140000     2.900000 # boss_type=OS count=70

Bond Coeffs

       1   317.000000     1.510000 # pattern=CA-CT
       2   469.000000     1.400000 # pattern=CA-CA
       3   340.000000     1.090000 # pattern=CT-HC
       4   367.000000     1.080000 # pattern=CA-HA
       5   268.000000     1.529000 # pattern=CT-CT
       6   320.000000     1.410000 # pattern=CT-OS
       7   450.000000     1.364000 # pattern=CA-OS

Angle Coeffs

       1    35.000000   109.500000 # pattern=CA-CT-HC
       2    63.000000   114.000000 # pattern=CA-CT-CT
       3    33.000000   107.800000 # pattern=HC-CT-HC
       4    37.500000   110.700000 # pattern=CT-CT-HC
       5    70.000000   120.000000 # pattern=CA-CA-CT
       6    63.000000   120.000000 # pattern=CA-CA-CA
       7    35.000000   120.000000 # pattern=CA-CA-HA
       8    58.350000   112.700000 # pattern=CT-CT-CT
       9    50.000000   109.500000 # pattern=CT-CT-OS
      10    75.000000   111.000000 # pattern=CA-OS-CT

Dihedral Coeffs

       1     0.000000     0.000000     0.000000     0.000000 # pattern=CA-CA-CT-HC
       2     0.000000     0.150000     0.000000     0.000000 # pattern=CA-CA-CT-CT
       3     0.000000     7.250000     0.000000     0.000000 # pattern=CA-CA-CA-CT
       4     0.000000     0.000000     0.300000     0.000000 # pattern=HC-CT-CT-OS
       5     1.300000    -0.500000     0.000000     0.000000 # pattern=CT-CT-CT-OS
       6     0.250000    -0.250000     0.500000     0.000000 # pattern=CA-OS-CT-CT
       7     0.000000     0.000000     0.760000     0.000000 # pattern=CA-OS-CT-HC
       8     0.000000     3.370000     0.000000     0.300000 # pattern=CA-CA-OS-CT
       9     0.000000     0.000000     0.462000     0.000000 # pattern=CA-CT-CT-HC
      10     0.850000    -0.200000     0.200000     0.000000 # pattern=CT-CT-CT-CT

Improper Coeffs

       1     2.500000  -1   2 # pattern=CA-CA-CA-CT

Atoms

       1      1      3 -0.13238500     2.787500     7.234000     3.413000
       2      1      4 -0.06806700     2.446700     8.691900     3.237600
       3      1      4 -0.12302500     1.120200     9.127800     3.346400
       4      1      4 -0.13721700     0.806400    10.479000     3.197800
       5      1      4 -0.14248400     1.814900    11.407100     2.946000
       6      1      4 -0.13648900     3.138400    10.985300     2.843400
       7      1      4 -0.12874500     3.454600     9.634100     2.989900
       8      1      2  0.09518200     1.965100     6.620700     3.024200
       9      1      2  0.09518200     3.662900     6.987300     2.796600
      10      1      1  0.13613800     0.322800     8.416600     3.548200
      11      1      1  0.13644600    -0.225900    10.806300     3.279300
      12      1      1  0.13461900     1.568900    12.458400     2.831400
      13      1      1  0.13607200     3.924700    11.709500     2.651300
      14      1      1  0.13477300     4.492500     9.321000     2.910500
      15      1      3 -0.20754900     3.057600     6.887900     4.875600
      16      1      3  0.00928000     3.419500     5.413400     5.035600
      17      1      5 -0.30916900     3.611600     5.088400     6.412600
      18      1      4  0.09784300     4.864300     5.188900     6.944700
      19      1      4 -0.13900200     5.980900     5.758400     6.333900
      20      1      4 -0.13906600     7.213800     5.797800     7.001400
      21      1      4  0.09725100     7.337100     5.272600     8.287200
      22      1      5 -0.30747300     8.474200     5.248700     9.042900
      23      1      3  0.01141000     9.625300     5.905500     8.509600
      24      1      3 -0.21886500    10.742100     5.802500     9.545100
      25      1      4 -0.18315600     6.217800     4.707000     8.898400
      26      1      4 -0.18332100     4.990800     4.669800     8.234100
      27      1      2  0.10544600     2.177200     7.112000     5.492400
      28      1      2  0.10544600     3.859300     7.519300     5.276100
      29      1      2  0.10836600     4.272300     5.114600     4.413900
      30      1      2  0.10836600     2.576500     4.803500     4.692800
      31      1      1  0.15665300     5.931500     6.191100     5.340800
      32      1      1  0.15636800     8.055100     6.246200     6.485500
      33      1      2  0.10290400     9.933800     5.412000     7.581100
      34      1      2  0.10290400     9.400100     6.962000     8.320500
      35      1      2  0.11355900    10.998500     4.746600     9.696300
      36      1      2  0.11355900    10.365100     6.148100    10.514800
      37      1      1  0.14698800     6.299500     4.294100     9.900600
      38      1      1  0.15125800     4.128300     4.229100     8.726300
      39      1      3 -0.21171600    11.993700     6.608100     9.188700
      40      1      3  0.01011400    12.633800     6.238400     7.850300
      41      1      5 -0.30742300    12.904900     4.839700     7.837600
      42      1      4  0.09918400    13.482900     4.323700     6.711500
      43      1      4 -0.13586100    13.852000     5.039600     5.573500
      44      1      4 -0.13602300    14.442600     4.383800     4.483900
      45      1      4  0.10217600    14.672000     3.008400     4.526800
      46      1      5 -0.30500000    15.244700     2.254200     3.540700
      47      1      3  0.01016300    15.680500     2.940200     2.366200
      48      1      3 -0.21742500    16.352800     1.916000     1.453300
      49      1      4 -0.18607400    14.298600     2.294800     5.665700
      50      1      4 -0.18660900    13.708200     2.947600     6.750000
      51      1      2  0.10876600    11.756600     7.679100     9.189500
      52      1      2  0.10876600    12.730500     6.442600     9.985500
