LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=star_orth800_uid001057_sk13_rg1_pl0_alternating__315e94874e12 topology=star
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

    1041 atoms
    1090 bonds
    1928 angles
    2758 dihedrals
     300 impropers

       5 atom types
       7 bond types
      10 angle types
      10 dihedral types
       1 improper types

     -9.916416      29.512524 xlo xhi
    -35.659495      36.046796 ylo yhi
    -55.498607      14.844433 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=200
       2     1.008000 # boss_type=HC count=328
       3    12.011000 # boss_type=CT count=163
       4    12.011000 # boss_type=CA count=300
       5    15.999000 # boss_type=OS count=50

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=200
       2     0.030000     2.500000 # boss_type=HC count=328
       3     0.066000     3.500000 # boss_type=CT count=163
       4     0.070000     3.550000 # boss_type=CA count=300
       5     0.140000     2.900000 # boss_type=OS count=50

Bond Coeffs

       1   268.000000     1.529000 # pattern=CT-CT
       2   340.000000     1.090000 # pattern=CT-HC
       3   317.000000     1.510000 # pattern=CA-CT
       4   469.000000     1.400000 # pattern=CA-CA
       5   367.000000     1.080000 # pattern=CA-HA
       6   320.000000     1.410000 # pattern=CT-OS
       7   450.000000     1.364000 # pattern=CA-OS

Angle Coeffs

       1    37.500000   110.700000 # pattern=CT-CT-HC
       2    33.000000   107.800000 # pattern=HC-CT-HC
       3    58.350000   112.700000 # pattern=CT-CT-CT
       4    35.000000   109.500000 # pattern=CA-CT-HC
       5    63.000000   114.000000 # pattern=CA-CT-CT
       6    70.000000   120.000000 # pattern=CA-CA-CT
       7    63.000000   120.000000 # pattern=CA-CA-CA
       8    35.000000   120.000000 # pattern=CA-CA-HA
       9    50.000000   109.500000 # pattern=CT-CT-OS
      10    75.000000   111.000000 # pattern=CA-OS-CT

Dihedral Coeffs

       1     0.000000     0.000000     0.300000     0.000000 # pattern=HC-CT-CT-HC
       2     0.000000     0.000000     0.000000     0.000000 # pattern=CA-CA-CT-HC
       3     0.000000     0.150000     0.000000     0.000000 # pattern=CA-CA-CT-CT
       4     0.000000     7.250000     0.000000     0.000000 # pattern=CA-CA-CA-CT
       5     0.000000     0.000000     0.462000     0.000000 # pattern=CA-CT-CT-HC
       6     1.300000    -0.500000     0.000000     0.000000 # pattern=CT-CT-CT-OS
       7     0.250000    -0.250000     0.500000     0.000000 # pattern=CA-OS-CT-CT
       8     0.000000     0.000000     0.760000     0.000000 # pattern=CA-OS-CT-HC
       9     0.000000     3.370000     0.000000     0.300000 # pattern=CA-CA-OS-CT
      10     0.850000    -0.200000     0.200000     0.000000 # pattern=CT-CT-CT-CT

Improper Coeffs

       1     2.500000  -1   2 # pattern=CA-CA-CA-CT

Atoms

       1      1      3 -0.24095700     2.586066    -1.692101    -3.173321
       2      1      3 -0.17212700     3.982538    -1.097558    -3.047691
