LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=star_orth800_uid000942_sk10_rg2_pl0_block__485dbe5da434 topology=star
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

     924 atoms
     963 bonds
    1692 angles
    2355 dihedrals
     240 impropers

       5 atom types
       7 bond types
      10 angle types
      10 dihedral types
       1 improper types

     -6.597000      59.273500 xlo xhi
    -12.587700      41.692600 ylo yhi
    -59.777800      10.017000 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=162
       2     1.008000 # boss_type=HC count=300
       3    12.011000 # boss_type=CT count=150
       4    12.011000 # boss_type=CA count=240
       5    15.999000 # boss_type=OS count=72

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=162
       2     0.030000     2.500000 # boss_type=HC count=300
       3     0.066000     3.500000 # boss_type=CT count=150
       4     0.070000     3.550000 # boss_type=CA count=240
       5     0.140000     2.900000 # boss_type=OS count=72

Bond Coeffs

       1   317.000000     1.510000 # pattern=CA-CT
       2   469.000000     1.400000 # pattern=CA-CA
       3   340.000000     1.090000 # pattern=CT-HC
       4   367.000000     1.080000 # pattern=CA-HA
       5   268.000000     1.529000 # pattern=CT-CT
       6   320.000000     1.410000 # pattern=CT-OS
       7   450.000000     1.364000 # pattern=CA-OS

Angle Coeffs

       1    35.000000   109.500000 # pattern=CA-CT-HC
       2    63.000000   114.000000 # pattern=CA-CT-CT
       3    33.000000   107.800000 # pattern=HC-CT-HC
       4    37.500000   110.700000 # pattern=CT-CT-HC
       5    70.000000   120.000000 # pattern=CA-CA-CT
       6    63.000000   120.000000 # pattern=CA-CA-CA
       7    35.000000   120.000000 # pattern=CA-CA-HA
       8    58.350000   112.700000 # pattern=CT-CT-CT
       9    50.000000   109.500000 # pattern=CT-CT-OS
      10    75.000000   111.000000 # pattern=CA-OS-CT

Dihedral Coeffs

       1     0.000000     0.000000     0.000000     0.000000 # pattern=CA-CA-CT-HC
       2     0.000000     0.150000     0.000000     0.000000 # pattern=CA-CA-CT-CT
       3     0.000000     7.250000     0.000000     0.000000 # pattern=CA-CA-CA-CT
       4     0.000000     0.000000     0.300000     0.000000 # pattern=HC-CT-CT-OS
       5     1.300000    -0.500000     0.000000     0.000000 # pattern=CT-CT-CT-OS
       6     0.250000    -0.250000     0.500000     0.000000 # pattern=CA-OS-CT-CT
       7     0.000000     0.000000     0.760000     0.000000 # pattern=CA-OS-CT-HC
       8     0.000000     3.370000     0.000000     0.300000 # pattern=CA-CA-OS-CT
       9     0.000000     0.000000     0.462000     0.000000 # pattern=CA-CT-CT-HC
      10     0.850000    -0.200000     0.200000     0.000000 # pattern=CT-CT-CT-CT

Improper Coeffs

       1     2.500000  -1   2 # pattern=CA-CA-CA-CT

Atoms

       1      1      3 -0.13238500     2.804800     3.810000    -2.161900
       2      1      4 -0.06806700     1.672400     4.448600    -2.925300
       3      1      4 -0.12302500     0.422400     3.819600    -2.998600
       4      1      4 -0.13721700    -0.631200     4.418500    -3.690900
       5      1      4 -0.14248400    -0.446800     5.652100    -4.312100
       6      1      4 -0.13648900     0.790500     6.289200    -4.239700
       7      1      4 -0.12874500     1.845400     5.692100    -3.547500
       8      1      2  0.09518200     2.753300     2.720400    -2.282300
       9      1      2  0.09518200     3.761200     4.116800    -2.604100
      10      1      1  0.13613800     0.261400     2.859100    -2.514100
