LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=linear_orth800_uid000253_sk2_rg2_pl1_alternating__0a80ca0cb556 topology=linear
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

    1084 atoms
    1138 bonds
    2002 angles
    2870 dihedrals
     330 impropers

       5 atom types
       7 bond types
      10 angle types
       9 dihedral types
       1 improper types

    -33.944999      43.184831 xlo xhi
    -35.351426      11.532687 ylo yhi
    -49.362987      23.140961 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=222
       2     1.008000 # boss_type=HC count=320
       3    12.011000 # boss_type=CT count=160
       4    12.011000 # boss_type=CA count=330
       5    15.999000 # boss_type=OS count=52

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=222
       2     0.030000     2.500000 # boss_type=HC count=320
       3     0.066000     3.500000 # boss_type=CT count=160
       4     0.070000     3.550000 # boss_type=CA count=330
       5     0.140000     2.900000 # boss_type=OS count=52

Bond Coeffs

       1   317.000000     1.510000 # pattern=CA-CT
       2   469.000000     1.400000 # pattern=CA-CA
       3   340.000000     1.090000 # pattern=CT-HC
       4   367.000000     1.080000 # pattern=CA-HA
       5   268.000000     1.529000 # pattern=CT-CT
       6   320.000000     1.410000 # pattern=CT-OS
       7   450.000000     1.364000 # pattern=CA-OS

Angle Coeffs

       1    35.000000   109.500000 # pattern=CA-CT-HC
       2    63.000000   114.000000 # pattern=CA-CT-CT
       3    33.000000   107.800000 # pattern=HC-CT-HC
       4    37.500000   110.700000 # pattern=CT-CT-HC
       5    70.000000   120.000000 # pattern=CA-CA-CT
       6    63.000000   120.000000 # pattern=CA-CA-CA
       7    35.000000   120.000000 # pattern=CA-CA-HA
       8    58.350000   112.700000 # pattern=CT-CT-CT
       9    50.000000   109.500000 # pattern=CT-CT-OS
      10    75.000000   111.000000 # pattern=CA-OS-CT

Dihedral Coeffs

       1     0.000000     0.000000     0.000000     0.000000 # pattern=CA-CA-CT-HC
       2     0.000000     0.150000     0.000000     0.000000 # pattern=CA-CA-CT-CT
       3     0.000000     7.250000     0.000000     0.000000 # pattern=CA-CA-CA-CT
       4     0.000000     0.000000     0.462000     0.000000 # pattern=CA-CT-CT-HC
       5     0.000000     0.000000     0.300000     0.000000 # pattern=HC-CT-CT-HC
       6     1.300000    -0.500000     0.000000     0.000000 # pattern=CT-CT-CT-OS
       7     0.250000    -0.250000     0.500000     0.000000 # pattern=CA-OS-CT-CT
       8     0.000000     0.000000     0.760000     0.000000 # pattern=CA-OS-CT-HC
       9     0.000000     3.370000     0.000000     0.300000 # pattern=CA-CA-OS-CT

Improper Coeffs

       1     2.500000  -1   2 # pattern=CA-CA-CA-CT

Atoms

       1      1      3 -0.12739700    -3.299215    -5.560335     8.302571
       2      1      4 -0.08158900    -4.447764    -5.534885     9.285629
       3      1      4 -0.12534300    -4.505157    -6.441058    10.354855
       4      1      4 -0.13744300    -5.573148    -6.412675    11.254816
       5      1      4 -0.14100100    -6.602200    -5.488080    11.089101
       6      1      4 -0.13866400    -6.564706    -4.595071    10.021169
       7      1      4 -0.13658400    -5.494024    -4.617314     9.124859
       8      1      2  0.09879300    -3.307150    -6.547732     7.822477
       9      1      2  0.09879300    -3.475041    -4.833022     7.499377
      10      1      1  0.14339100    -3.716200    -7.176426    10.495275
      11      1      1  0.13804300    -5.600491    -7.115128    12.083803
      12      1      1  0.13618900    -7.431985    -5.463638    11.790012
      13      1      1  0.13687300    -7.363423    -3.870555     9.885075
      14      1      1  0.13593900    -5.482656    -3.906116     8.300545
      15      1      3 -0.12968900    -1.912164    -5.323984     8.915274
      16      1      4 -0.08697300    -1.661280    -3.898551     9.345285
      17      1      4 -0.13221500    -2.019447    -3.470248    10.627795
      18      1      4 -0.13235900    -1.751168    -2.165297    11.042702
      19      1      4 -0.08629100    -1.133902    -1.257085    10.176868
      20      1      3 -0.12991800    -0.824851     0.145668    10.641067
      21      1      4 -0.13236900    -0.789067    -1.678537     8.887408
      22      1      4 -0.13223500    -1.052792    -2.986831     8.474334
      23      1      2  0.10198300    -1.153800    -5.595972     8.168861
      24      1      2  0.10198300    -1.732476    -5.995859     9.763346
      25      1      1  0.13842700    -2.503283    -4.155896    11.319586
      26      1      1  0.13858100    -2.028363    -1.865123    12.049052
      27      1      2  0.10202400    -1.643933     0.475709    11.293989
      28      1      2  0.10202400    -0.834716     0.831936     9.784821
      29      1      1  0.13857600    -0.296526    -0.993178     8.200352
      30      1      1  0.13845100    -0.764693    -3.292641     7.471339
      31      1      3 -0.13138100     0.495833     0.248311    11.414295
      32      1      4 -0.08736500     1.717370     0.194243    10.526453
      33      1      4 -0.13464000     2.393140    -1.013054    10.310636
      34      1      4 -0.13346900     3.507669    -1.061134     9.469271
      35      1      4 -0.08752800     3.962142     0.095953     8.824339
      36      1      3 -0.13000700     5.173195     0.053679     7.926734
      37      1      4 -0.13265000     3.288140     1.303182     9.043337
      38      1      4 -0.13153500     2.173776     1.351182     9.883035
      39      1      2  0.10558800     0.513124     1.202489    11.957289
      40      1      2  0.10558800     0.561539    -0.530788    12.184880
      41      1      1  0.13670700     2.041737    -1.928013    10.784158
      42      1      1  0.13748300     4.013949    -2.010234     9.315774
      43      1      2  0.10146800     5.053454     0.789900     7.122083
      44      1      2  0.10146800     5.228801    -0.925268     7.434163
      45      1      1  0.13847800     3.623467     2.216721     8.557104
      46      1      1  0.14179500     1.662296     2.299629    10.030376
      47      1      3 -0.20791200     6.459323     0.324208     8.704176
      48      1      3  0.00984300     7.675606     0.346748     7.778383
      49      1      5 -0.30903500     8.875252     0.628969     8.503045
      50      1      4  0.09744700     9.407674    -0.366197     9.274473
      51      1      4 -0.13823200     9.166201    -1.730439     9.128085
      52      1      4 -0.13954500     9.750875    -2.640668    10.012335
      53      1      4  0.09939900    10.563945    -2.198790    11.054937
      54      1      5 -0.30881000    11.032836    -3.177991    11.883018
      55      1      3  0.01063300    11.260148    -2.795084    13.240556
      56      1      3 -0.20731900    10.995960    -4.004264    14.141262
      57      1      4 -0.18696700    10.854555    -0.842313    11.169872
      58      1      4 -0.18403000    10.276140     0.068278    10.279512
      59      1      2  0.10570300     6.587900    -0.433080     9.487317
      60      1      2  0.10570300     6.397386     1.283460     9.234837
      61      1      2  0.10806200     7.554827     1.168461     7.062576
      62      1      2  0.10806200     7.766121    -0.560682     7.171602
      63      1      1  0.15686100     8.529459    -2.126175     8.346295
      64      1      1  0.15734200     9.544437    -3.703623     9.908658
      65      1      2  0.10936000    10.630681    -1.955474    13.559089
      66      1      2  0.10936000    12.311825    -2.500952    13.328888
      67      1      2  0.10524800    11.578132    -3.881954    15.062626
      68      1      2  0.10524800    11.342640    -4.922411    13.652517
      69      1      1  0.14292800    11.525967    -0.471117    11.936491
      70      1      1  0.15065100    10.493121     1.128767    10.380109
      71      1      3 -0.13157600     9.521918    -4.151978    14.550536
      72      1      4 -0.08566100     8.559635    -4.396850    13.415408
      73      1      4 -0.13385800     7.672144    -3.393128    13.006406
      74      1      4 -0.13677200     6.796893    -3.607168    11.938657
      75      1      4 -0.08976600     6.789884    -4.832637    11.262236
      76      1      3 -0.13169600     5.854640    -5.064832    10.103413
      77      1      4 -0.13049800     7.666329    -5.841873    11.679948
      78      1      4 -0.12975900     8.544331    -5.625209    12.744867
      79      1      2  0.10623900     9.213376    -3.261378    15.113474
      80      1      2  0.10623900     9.433081    -4.987823    15.257187
      81      1      1  0.13798400     7.669278    -2.425689    13.502887
      82      1      1  0.13643300     6.132547    -2.801964    11.633466
      83      1      2  0.09942600     5.505260    -4.104397     9.704573
      84      1      2  0.09942600     6.423066    -5.532011     9.288787
      85      1      1  0.14026000     7.678852    -6.803252    11.171485
      86      1      1  0.14357900     9.223501    -6.420730    13.042762
      87      1      3 -0.20791200     4.657556    -5.949016    10.450614
      88      1      3  0.00984300     3.711618    -5.303043    11.460881
      89      1      5 -0.30903500     2.568959    -6.150860    11.589838
      90      1      4  0.09744700     1.539138    -5.681769    12.357009
      91      1      4 -0.13823200     1.567716    -4.542049    13.160780
      92      1      4 -0.13954500     0.434436    -4.162252    13.892732
      93      1      4  0.09939900    -0.735636    -4.916722    13.820333
      94      1      5 -0.30881000    -1.915407    -4.636978    14.449889
      95      1      3  0.01063300    -1.999024    -3.404666    15.163911
      96      1      3 -0.20731900    -3.457405    -3.163504    15.547341
      97      1      4 -0.18696700    -0.753442    -6.070475    13.035816
      98      1      4 -0.18403000     0.376477    -6.450464    12.309185
      99      1      2  0.10570300     4.098729    -6.166149     9.531363
     100      1      2  0.10570300     4.986681    -6.924050    10.832083
     101      1      2  0.10806200     3.407730    -4.315385    11.093403
     102      1      2  0.10806200     4.208432    -5.208041    12.432995
     103      1      1  0.15686100     2.457192    -3.926899    13.245821
     104      1      1  0.15734200     0.503609    -3.271459    14.507731
     105      1      2  0.10936000    -1.391491    -3.471649    16.073807
     106      1      2  0.10936000    -1.650212    -2.565781    14.549829
     107      1      2  0.10524800    -3.835401    -4.023777    16.114035
     108      1      2  0.10524800    -3.515015    -2.287100    16.203716
     109      1      1  0.14292800    -1.657400    -6.671022    12.977883
     110      1      1  0.15065100     0.346243    -7.345710    11.694306
     111      1      3 -0.13157600    -4.331047    -2.950995    14.307534
     112      1      4 -0.08566100    -5.765460    -2.664038    14.672478
     113      1      4 -0.13385800    -6.706501    -3.698526    14.710678
     114      1      4 -0.13677200    -8.039626    -3.431482    15.028660
     115      1      4 -0.08976600    -8.454159    -2.124579    15.314657
     116      1      3 -0.13169600    -9.909006    -1.825240    15.580214
     117      1      4 -0.13049800    -7.505763    -1.094683    15.305765
     118      1      4 -0.12975900    -6.172751    -1.363151    14.989897
     119      1      2  0.10623900    -3.942497    -2.115460    13.711871
     120      1      2  0.10623900    -4.291049    -3.829831    13.651516
     121      1      1  0.13798400    -6.405881    -4.719079    14.483564
     122      1      1  0.13643300    -8.753504    -4.251767    15.037958
     123      1      2  0.09942600   -10.467595    -2.759973    15.716296
     124      1      2  0.09942600    -9.986796    -1.284467    16.531811
     125      1      1  0.14026000    -7.799426    -0.070278    15.527407
     126      1      1  0.14357900    -5.458068    -0.542805    14.978391
     127      1      3 -0.20791200   -10.563066    -0.999837    14.469237
     128      1      3  0.00984300   -10.506388    -1.686126    13.104829
     129      1      5 -0.30903500   -11.151791    -0.839749    12.150488
     130      1      4  0.09744700   -11.023936    -1.204238    10.837688
     131      1      4 -0.13823200   -10.549608    -2.431074    10.371164
     132      1      4 -0.13954500   -10.448147    -2.677858     8.994894
     133      1      4  0.09939900   -10.820590    -1.699864     8.075581
     134      1      5 -0.30881000   -10.749428    -1.795163     6.715825
     135      1      3  0.01063300   -10.090208    -2.920399     6.134355
     136      1      3 -0.20731900   -11.060782    -4.072446     5.879987
     137      1      4 -0.18696700   -11.320404    -0.483718     8.545569
     138      1      4 -0.18403000   -11.422419    -0.237179     9.916519
     139      1      2  0.10570300   -10.092703    -0.012331    14.397138
     140      1      2  0.10570300   -11.610706    -0.805178    14.731370
     141      1      2  0.10806200   -11.028769    -2.648778    13.158043
     142      1      2  0.10806200    -9.462008    -1.839803    12.809046
     143      1      1  0.15686100   -10.251768    -3.223047    11.050711
     144      1      1  0.15734200   -10.073520    -3.646301     8.681348
     145      1      2  0.10936000    -9.691710    -2.577919     5.171811
     146      1      2  0.10936000    -9.216944    -3.239456     6.714912
     147      1      2  0.10524800   -11.413449    -4.478313     6.835251
     148      1      2  0.10524800   -10.525759    -4.882255     5.368548
     149      1      1  0.14292800   -11.625105     0.284541     7.838979
     150      1      1  0.15065100   -11.807064     0.718254    10.264209
     151      1      3 -0.13157600   -12.267662    -3.626916     5.048938
     152      1      4 -0.08566100   -13.167342    -4.782907     4.687693
     153      1      4 -0.13385800   -13.199720    -5.276827     3.378372
     154      1      4 -0.13677200   -14.050162    -6.331331     3.039617
     155      1      4 -0.08976600   -14.878492    -6.916199     4.005373
     156      1      3 -0.13169600   -15.834063    -8.019143     3.624166
     157      1      4 -0.13049800   -14.832478    -6.434488     5.319537
     158      1      4 -0.12975900   -13.987610    -5.374871     5.656452
     159      1      2  0.10623900   -11.924106    -3.127574     4.134343
     160      1      2  0.10623900   -12.860353    -2.883015     5.596320
     161      1      1  0.13798400   -12.570397    -4.836925     2.607599
     162      1      1  0.13643300   -14.068571    -6.687618     2.011931
     163      1      2  0.09942600   -15.295972    -8.745994     3.002269
     164      1      2  0.09942600   -16.150299    -8.569521     4.519062
     165      1      1  0.14026000   -15.464299    -6.870497     6.090012
     166      1      1  0.14357900   -13.979607    -5.006088     6.680251
     167      1      3 -0.20791200   -17.062514    -7.515180     2.862713
     168      1      3  0.00984300   -17.954020    -6.603184     3.704701
     169      1      5 -0.30903500   -19.103001    -6.260913     2.925409
     170      1      4  0.09744700   -19.949698    -5.332188     3.466688
     171      1      4 -0.13823200   -19.916086    -4.861765     4.778028
     172      1      4 -0.13954500   -20.844047    -3.904837     5.201294
     173      1      4  0.09939900   -21.809380    -3.405585     4.325209
     174      1      5 -0.30881000   -22.644233    -2.472571     4.870942
     175      1      3  0.01063300   -23.537334    -1.798376     3.985527
     176      1      3 -0.20731900   -24.289753    -0.731926     4.779143
     177      1      4 -0.18696700   -21.852758    -3.885072     3.018146
