LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=linear_orth800_uid000296_sk3_rg0_pl1_random__367ee75de067 topology=linear
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

     946 atoms
    1015 bonds
    1714 angles
    2517 dihedrals
     420 impropers

       5 atom types
       7 bond types
      12 angle types
       9 dihedral types
       1 improper types

     -4.232765      74.422948 xlo xhi
    -25.111587      40.853079 ylo yhi
    -13.856037      28.674302 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=282
       2     1.008000 # boss_type=HC count=140
       3    12.011000 # boss_type=CT count=70
       4    12.011000 # boss_type=CA count=420
       5    32.067000 # boss_type=S count=34

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=282
       2     0.030000     2.500000 # boss_type=HC count=140
       3     0.066000     3.500000 # boss_type=CT count=70
       4     0.070000     3.550000 # boss_type=CA count=420
       5     0.355000     3.600000 # boss_type=S count=34

Bond Coeffs

       1   317.000000     1.510000 # pattern=CA-CT
       2   469.000000     1.400000 # pattern=CA-CA
       3   340.000000     1.090000 # pattern=CT-HC
       4   367.000000     1.080000 # pattern=CA-HA
       5   268.000000     1.529000 # pattern=CT-CT
       6   250.000000     1.760000 # pattern=CA-S
       7   222.000000     1.810000 # pattern=CT-S

Angle Coeffs

       1    35.000000   109.500000 # pattern=CA-CT-HC
       2    63.000000   114.000000 # pattern=CA-CT-CT
       3    33.000000   107.800000 # pattern=HC-CT-HC
       4    37.500000   110.700000 # pattern=CT-CT-HC
       5    70.000000   120.000000 # pattern=CA-CA-CT
       6    63.000000   120.000000 # pattern=CA-CA-CA
       7    35.000000   120.000000 # pattern=CA-CA-HA
       8    50.000000   114.700000 # pattern=CA-CT-S
       9    65.000000    97.000000 # pattern=CA-S-CT
      10    85.000000   119.400000 # pattern=CA-CA-S
      11    40.000000   109.500000 # pattern=CA-CT-CA
      12    73.790000   105.500000 # pattern=CA-S-CA

Dihedral Coeffs

