LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=cyclic_orth800_uid000587_sk7_rg1_pl1_alternating__25bfe6c8044d topology=cyclic
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

    1050 atoms
    1085 bonds
    1960 angles
    2765 dihedrals
     210 impropers

       5 atom types
       6 bond types
       9 angle types
       7 dihedral types
       1 improper types

    -27.291452      29.260438 xlo xhi
    -42.853255      58.655620 ylo yhi
    -20.074518      27.855583 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=140
       2     1.008000 # boss_type=HC count=420
       3    12.011000 # boss_type=CT count=210
       4    12.011000 # boss_type=CA count=210
       5    15.999000 # boss_type=OS count=70

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=140
       2     0.030000     2.500000 # boss_type=HC count=420
       3     0.066000     3.500000 # boss_type=CT count=210
       4     0.070000     3.550000 # boss_type=CA count=210
       5     0.140000     2.900000 # boss_type=OS count=70

Bond Coeffs

       1   268.000000     1.529000 # pattern=CT-CT
       2   320.000000     1.410000 # pattern=CT-OS
       3   450.000000     1.364000 # pattern=CA-OS
       4   469.000000     1.400000 # pattern=CA-CA
       5   340.000000     1.090000 # pattern=CT-HC
       6   367.000000     1.080000 # pattern=CA-HA

Angle Coeffs

       1    37.500000   110.700000 # pattern=CT-CT-HC
       2    58.350000   112.700000 # pattern=CT-CT-CT
       3    33.000000   107.800000 # pattern=HC-CT-HC
       4    50.000000   109.500000 # pattern=CT-CT-OS
       5    35.000000   109.500000 # pattern=HC-CT-OS
       6    75.000000   111.000000 # pattern=CA-OS-CT
       7    70.000000   120.000000 # pattern=CA-CA-OS
       8    63.000000   120.000000 # pattern=CA-CA-CA
       9    35.000000   120.000000 # pattern=CA-CA-HA

Dihedral Coeffs

       1     0.000000     0.000000     0.300000     0.000000 # pattern=HC-CT-CT-OS
       2     1.300000    -0.500000     0.000000     0.000000 # pattern=CT-CT-CT-OS
       3     0.250000    -0.250000     0.500000     0.000000 # pattern=CA-OS-CT-CT
       4     0.000000     0.000000     0.760000     0.000000 # pattern=CA-OS-CT-HC
       5     0.000000     3.370000     0.000000     0.300000 # pattern=CA-CA-OS-CT
       6     0.000000     7.250000     0.000000     0.000000 # pattern=CA-CA-CA-OS
       7     0.850000    -0.200000     0.200000     0.000000 # pattern=CT-CT-CT-CT

Improper Coeffs

       1     2.500000  -1   2 # pattern=CA-CA-CA-OS

Atoms

       1      1      3 -0.21374900    -4.143996    -5.282249     8.273658
       2      1      3  0.01129900    -4.237420    -5.716921     6.810979
       3      1      5 -0.30631900    -3.735805    -7.048926     6.692550
       4      1      4  0.10183500    -3.219542    -7.391693     5.474721
       5      1      4 -0.13649900    -2.303827    -8.443961     5.491682
       6      1      4 -0.13646300    -1.671434    -8.859841     4.315415
       7      1      4  0.10164600    -1.957163    -8.227132     3.108547
       8      1      5 -0.30642600    -1.386028    -8.491038     1.896090
       9      1      3  0.01226800    -0.334551    -9.449860     1.824690
      10      1      3 -0.21572200     1.027732    -8.886291     2.244666
      11      1      4 -0.18417900    -2.909657    -7.204898     3.087622
      12      1      4 -0.18416700    -3.545104    -6.790184     4.261692
      13      1      2  0.10672900    -4.527918    -4.260723     8.372551
      14      1      2  0.10672900    -4.799146    -5.924523     8.875581
      15      1      2  0.10552500    -5.285684    -5.703613     6.491152
      16      1      2  0.10552500    -3.674120    -5.006764     6.194173
      17      1      1  0.15922500    -2.064592    -8.935843     6.431537
      18      1      1  0.15921600    -0.958130    -9.672296     4.386618
      19      1      2  0.10588100    -0.273287    -9.760492     0.774648
      20      1      2  0.10588100    -0.583266   -10.361962     2.378998
      21      1      2  0.10587500     1.756572    -9.702590     2.167729
      22      1      2  0.10587500     1.011110    -8.573080     3.293463
      23      1      1  0.14493100    -3.153357    -6.719125     2.145631
      24      1      1  0.14508400    -4.286010    -6.000342     4.197055
      25      1      3 -0.17964500    -2.732638    -5.374717     8.871345
      26      1      3 -0.17658300    -1.626644    -4.669056     8.080458
      27      1      2  0.08728100    -2.458463    -6.432431     8.972269
      28      1      2  0.08728100    -2.760237    -4.970007     9.890674
      29      1      2  0.09083300    -1.521850    -5.126156     7.090045
      30      1      2  0.09083300    -0.673879    -4.844941     8.596226
      31      1      3 -0.17964500     1.524147    -7.720931     1.379184
      32      1      3 -0.17658300     1.011803    -6.352507     1.840015
      33      1      2  0.08728100     1.262610    -7.892406     0.328393
      34      1      2  0.08728100     2.620468    -7.706073     1.430625
      35      1      2  0.09083300     1.307875    -6.184495     2.882295
      36      1      2  0.09083300    -0.080594    -6.323242     1.803983
      37      1      3 -0.21374900    -1.841098    -3.163092     7.940844
      38      1      3  0.01129900    -0.730183    -2.520642     7.112469
      39      1      5 -0.30631900    -0.939556    -1.107645     7.109824
      40      1      4  0.10183500     0.102878    -0.358814     6.634395
      41      1      4 -0.13649900     0.125318     0.969839     7.057473
      42      1      4 -0.13646300     1.157661     1.821567     6.656172
      43      1      4  0.10164600     2.169491     1.360233     5.813448
      44      1      5 -0.30642600     3.138477     2.278010     5.516894
      45      1      3  0.01226800     4.104253     1.904345     4.538258
      46      1      3 -0.21572200     5.097573     3.049538     4.333390
      47      1      4 -0.18417900     2.132363     0.039505     5.371405
      48      1      4 -0.18416700     1.101201    -0.817041     5.775835
      49      1      2  0.10672900    -1.878932    -2.694851     8.932247
      50      1      2  0.10672900    -2.803569    -2.942288     7.465644
      51      1      2  0.10552500    -0.772815    -2.906190     6.086970
      52      1      2  0.10552500     0.240000    -2.760702     7.561526
      53      1      1  0.15922500    -0.650884     1.339956     7.721218
      54      1      1  0.15921600     1.178349     2.846721     7.014615
      55      1      2  0.10588100     4.667782     1.030514     4.886427
      56      1      2  0.10588100     3.611202     1.671105     3.587167
      57      1      2  0.10587500     5.570295     3.303410     5.289874
      58      1      2  0.10587500     5.890332     2.690251     3.665980
      59      1      1  0.14493100     2.903812    -0.369810     4.730003
      60      1      1  0.14508400     1.115743    -1.836728     5.404435
      61      1      3 -0.21374900     8.823482    -1.062894     2.324257
      62      1      3  0.01129900     7.598608    -1.877331     2.733207
      63      1      5 -0.30631900     6.478340    -0.997306     2.880587
      64      1      4  0.10183500     5.278135    -1.655473     2.854592
      65      1      4 -0.13649900     4.285906    -1.109359     2.041021
      66      1      4 -0.13646300     3.029731    -1.716488     1.961006
      67      1      4  0.10164600     2.770773    -2.874851     2.693095
      68      1      5 -0.30642600     1.559781    -3.510639     2.692771
      69      1      3  0.01226800     1.062982    -3.849702     1.391843
      70      1      3 -0.21572200     1.560827    -5.229080     0.954161
      71      1      4 -0.18417900     3.743961    -3.384311     3.551997
      72      1      4 -0.18416700     5.000353    -2.778745     3.633023
      73      1      2  0.10672900     9.523277    -1.735922     1.813179
      74      1      2  0.10672900     8.536575    -0.287299     1.603875
      75      1      2  0.10552500     7.794309    -2.413144     3.667054
      76      1      2  0.10552500     7.392171    -2.606769     1.938805
      77      1      1  0.15922500     4.489840    -0.209217     1.467746
      78      1      1  0.15921600     2.260625    -1.258442     1.347146
      79      1      2  0.10588100    -0.030820    -3.857863     1.461149
      80      1      2  0.10588100     1.315509    -3.103993     0.630708
      81      1      2  0.10587500     1.251022    -5.403599    -0.082857
      82      1      2  0.10587500     2.656627    -5.252951     0.979815
      83      1      1  0.14493100     3.523684    -4.254642     4.163035
      84      1      1  0.14508400     5.734011    -3.184034     4.322436
