LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=cyclic_orth800_uid000692_sk7_rg1_pl0_random__7773f0ac8953 topology=cyclic
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

    1050 atoms
    1085 bonds
    1960 angles
    2765 dihedrals
     210 impropers

       5 atom types
       6 bond types
       9 angle types
       7 dihedral types
       1 improper types

    -16.873244      57.245951 xlo xhi
     -3.293284      46.388121 ylo yhi
    -17.123551      63.241344 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=140
       2     1.008000 # boss_type=HC count=420
       3    12.011000 # boss_type=CT count=210
       4    12.011000 # boss_type=CA count=210
       5    15.999000 # boss_type=OS count=70

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=140
       2     0.030000     2.500000 # boss_type=HC count=420
       3     0.066000     3.500000 # boss_type=CT count=210
       4     0.070000     3.550000 # boss_type=CA count=210
       5     0.140000     2.900000 # boss_type=OS count=70

Bond Coeffs

       1   268.000000     1.529000 # pattern=CT-CT
       2   340.000000     1.090000 # pattern=CT-HC
       3   320.000000     1.410000 # pattern=CT-OS
       4   450.000000     1.364000 # pattern=CA-OS
       5   469.000000     1.400000 # pattern=CA-CA
       6   367.000000     1.080000 # pattern=CA-HA

Angle Coeffs

       1    37.500000   110.700000 # pattern=CT-CT-HC
       2    58.350000   112.700000 # pattern=CT-CT-CT
       3    33.000000   107.800000 # pattern=HC-CT-HC
       4    50.000000   109.500000 # pattern=CT-CT-OS
       5    35.000000   109.500000 # pattern=HC-CT-OS
       6    75.000000   111.000000 # pattern=CA-OS-CT
       7    70.000000   120.000000 # pattern=CA-CA-OS
       8    63.000000   120.000000 # pattern=CA-CA-CA
       9    35.000000   120.000000 # pattern=CA-CA-HA

Dihedral Coeffs

       1     0.000000     0.000000     0.300000     0.000000 # pattern=HC-CT-CT-HC
       2     0.850000    -0.200000     0.200000     0.000000 # pattern=CT-CT-CT-CT
       3     1.300000    -0.500000     0.000000     0.000000 # pattern=CT-CT-CT-OS
       4     0.250000    -0.250000     0.500000     0.000000 # pattern=CA-OS-CT-CT
