topology	chain_id	kind	branch	pattern	atoms_json
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[248,247,250,317]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[249,247,250,317]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[318,316,317,250]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[319,316,317,250]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[320,316,317,250]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[317,316,319,402]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[318,316,319,402]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[320,316,319,402]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[317,316,320,413]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[318,316,320,413]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[319,316,320,413]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[247,250,317,316]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[403,401,402,319]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[404,401,402,319]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[402,401,403,483]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[404,401,403,483]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[402,401,404,498]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[403,401,404,498]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[316,319,402,401]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[414,412,413,320]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[415,412,413,320]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[416,412,413,320]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[413,412,414,510]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[415,412,414,510]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[416,412,414,510]
branch	branch_orth800_uid001305_sk19_rg0_pl0_block__c45db8462fd1	dihedral	A3	CT-CT-CT-CT	[413,412,416,583]
