LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=cyclic_orth800_uid000407_sk7_rg0_pl0_block__b8e81a4b48ee topology=cyclic
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

    1050 atoms
    1120 bonds
    1960 angles
    2870 dihedrals
     350 impropers

       5 atom types
       6 bond types
      10 angle types
       5 dihedral types
       1 improper types

    -24.484840      24.212567 xlo xhi
    -26.907336      22.465663 ylo yhi
    -31.422575      16.010045 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=210
       2     1.008000 # boss_type=HC count=280
       3    12.011000 # boss_type=CT count=140
       4    12.011000 # boss_type=CA count=350
       5    14.007000 # boss_type=NC count=70

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=210
       2     0.030000     2.500000 # boss_type=HC count=280
       3     0.066000     3.500000 # boss_type=CT count=140
       4     0.070000     3.550000 # boss_type=CA count=350
       5     0.170000     3.250000 # boss_type=NC count=70

Bond Coeffs

       1   317.000000     1.510000 # pattern=CA-CT
       2   469.000000     1.400000 # pattern=CA-CA
       3   483.000000     1.339000 # pattern=CA-NC
       4   340.000000     1.090000 # pattern=CT-HC
       5   367.000000     1.080000 # pattern=CA-HA
       6   268.000000     1.529000 # pattern=CT-CT

Angle Coeffs

       1    35.000000   109.500000 # pattern=CA-CT-HC
       2    63.000000   114.000000 # pattern=CA-CT-CT
       3    33.000000   107.800000 # pattern=HC-CT-HC
       4    37.500000   110.700000 # pattern=CT-CT-HC
       5    70.000000   120.000000 # pattern=CA-CA-CT
       6    63.000000   120.000000 # pattern=CA-CA-CA
       7    35.000000   120.000000 # pattern=CA-CA-HA
       8    70.000000   124.000000 # pattern=CA-CA-NC
       9    35.000000   116.000000 # pattern=HA-CA-NC
      10    70.000000   117.000000 # pattern=CA-NC-CA

Dihedral Coeffs

       1     0.000000     0.000000     0.000000     0.000000 # pattern=CA-CA-CT-HC
       2     0.000000     0.150000     0.000000     0.000000 # pattern=CA-CA-CT-CT
       3     0.000000     7.250000     0.000000     0.000000 # pattern=CA-CA-CA-CT
       4     0.000000     0.000000     0.462000     0.000000 # pattern=CA-CT-CT-HC
       5     0.000000     0.000000     0.300000     0.000000 # pattern=HC-CT-CT-HC

Improper Coeffs

       1     2.500000  -1   2 # pattern=CA-CA-CA-CT

Atoms

       1      1      3 -0.13709000    -2.749784    -2.554727    -2.665490
       2      1      4 -0.02593600    -3.996727    -1.798366    -3.071200
       3      1      4 -0.19255600    -4.860349    -1.357549    -2.056787
       4      1      4  0.08155300    -6.007525    -0.658831    -2.393160
       5      1      5 -0.47032500    -6.357915    -0.365626    -3.658274
       6      1      4  0.08483400    -5.513661    -0.784155    -4.627100
       7      1      4 -0.13269800    -4.325226    -1.490273    -4.405694
       8      1      3 -0.12651200    -3.466088    -1.827266    -5.604080
       9      1      2  0.10805100    -2.280504    -2.018028    -1.831501
      10      1      2  0.10805100    -2.016686    -2.516788    -3.469733
      11      1      1  0.15463500    -4.640492    -1.546051    -1.009899
      12      1      1  0.17036100    -6.690367    -0.304869    -1.626942
      13      1      1  0.16957600    -5.827884    -0.521451    -5.636074
      14      1      2  0.10402800    -2.907827    -2.752546    -5.429780
      15      1      2  0.10402800    -4.132785    -2.066383    -6.441799
      16      1      3 -0.13709000    -2.970796    -4.038288    -2.337632
      17      1      4 -0.02593600    -3.418279    -4.295778    -0.915486
      18      1      4 -0.19255600    -4.766310    -4.603765    -0.680684
