LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=linear_orth800_uid000009_sk3_rg0_pl0_block__0cba08be2a63 topology=linear
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

    1034 atoms
    1101 bonds
    1928 angles
    2815 dihedrals
     340 impropers

       5 atom types
       6 bond types
      11 angle types
       5 dihedral types
       1 improper types

    -22.583201      30.945276 xlo xhi
    -15.251628      53.035755 ylo yhi
     -4.606388      33.978254 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=204
       2     1.008000 # boss_type=HC count=282
       3    12.011000 # boss_type=CT count=140
       4    12.011000 # boss_type=CA count=340
       5    14.007000 # boss_type=NC count=68

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=204
       2     0.030000     2.500000 # boss_type=HC count=282
       3     0.066000     3.500000 # boss_type=CT count=140
       4     0.070000     3.550000 # boss_type=CA count=340
       5     0.170000     3.250000 # boss_type=NC count=68

Bond Coeffs

       1   268.000000     1.529000 # pattern=CT-CT
       2   340.000000     1.090000 # pattern=CT-HC
       3   317.000000     1.510000 # pattern=CA-CT
       4   469.000000     1.400000 # pattern=CA-CA
       5   483.000000     1.339000 # pattern=CA-NC
       6   367.000000     1.080000 # pattern=CA-HA

Angle Coeffs

       1    37.500000   110.700000 # pattern=CT-CT-HC
       2    33.000000   107.800000 # pattern=HC-CT-HC
       3    58.350000   112.700000 # pattern=CT-CT-CT
       4    35.000000   109.500000 # pattern=CA-CT-HC
       5    63.000000   114.000000 # pattern=CA-CT-CT
       6    70.000000   120.000000 # pattern=CA-CA-CT
       7    63.000000   120.000000 # pattern=CA-CA-CA
       8    35.000000   120.000000 # pattern=CA-CA-HA
       9    70.000000   124.000000 # pattern=CA-CA-NC
      10    35.000000   116.000000 # pattern=HA-CA-NC
      11    70.000000   117.000000 # pattern=CA-NC-CA

Dihedral Coeffs

       1     0.000000     0.000000     0.300000     0.000000 # pattern=HC-CT-CT-HC
       2     0.000000     0.000000     0.000000     0.000000 # pattern=CA-CA-CT-HC
       3     0.000000     0.150000     0.000000     0.000000 # pattern=CA-CA-CT-CT
       4     0.000000     7.250000     0.000000     0.000000 # pattern=CA-CA-CA-CT
       5     0.000000     0.000000     0.462000     0.000000 # pattern=CA-CT-CT-HC

Improper Coeffs

       1     2.500000  -1   2 # pattern=CA-CA-CA-CT

Atoms

       1      1      3 -0.24346200    -3.534025     1.121201     2.595485
       2      1      3 -0.17308800    -2.281429     1.581897     3.327610
       3      1      2  0.08045600    -4.241550     1.946893     2.475535
       4      1      2  0.08045600    -3.272572     0.753243     1.598241
       5      1      2  0.08045600    -4.039975     0.310623     3.126139
       6      1      2  0.08759100    -1.780237     2.329015     2.699317
       7      1      2  0.08759100    -1.577065     0.749459     3.430598
       8      1      3 -0.14077600    -2.578870     2.230462     4.686518
       9      1      4 -0.02507500    -3.125459     1.361835     5.804245
      10      1      4 -0.19519400    -3.003112    -0.034170     5.777037
      11      1      4  0.08146800    -3.504992    -0.787607     6.827976
      12      1      5 -0.47417300    -4.114265    -0.260341     7.906608
      13      1      4  0.09163700    -4.189161     1.084789     7.946340
      14      1      4 -0.13195700    -3.714040     1.940563     6.946855
      15      1      3 -0.11883400    -3.880052     3.428682     7.142271
      16      1      2  0.10233900    -1.646650     2.678499     5.053618
      17      1      2  0.10233900    -3.281107     3.052682     4.501743
      18      1      1  0.15384900    -2.509538    -0.551882     4.961853
      19      1      1  0.16893400    -3.416562    -1.869664     6.827729
      20      1      1  0.17379100    -4.661313     1.477444     8.843855
      21      1      2  0.10582600    -3.114773     3.987219     6.591271
      22      1      2  0.10582600    -3.680455     3.661016     8.194807
      23      1      3 -0.13802400    -5.285463     3.890686     6.740448
      24      1      4 -0.03113600    -5.562741     5.319352     7.146825
      25      1      4 -0.19619400    -5.027885     6.342787     6.349084
      26      1      4  0.07968200    -5.245510     7.663198     6.703648
      27      1      5 -0.47043700    -5.946411     8.034921     7.790352
      28      1      4  0.09054800    -6.456072     7.041627     8.550886
      29      1      4 -0.13110100    -6.306494     5.677263     8.288313
      30      1      3 -0.12036300    -6.922486     4.693579     9.257669
      31      1      2  0.10654300    -5.414045     3.797304     5.653372
      32      1      2  0.10654300    -6.040413     3.224158     7.163257
      33      1      1  0.15207800    -4.447207     6.116169     5.458552
      34      1      1  0.16886500    -4.848790     8.477964     6.104107
      35      1      1  0.17442800    -7.016240     7.385679     9.417282
      36      1      2  0.10428400    -7.834335     5.133275     9.684597
      37      1      2  0.10428400    -7.278172     3.816736     8.707582
      38      1      3 -0.13802400    -5.976462     4.238325    10.381264
      39      1      4 -0.03113600    -5.710200     5.306964    11.423220
      40      1      4 -0.19619400    -6.709649     5.551416    12.375160
      41      1      4  0.07968200    -6.508048     6.533607    13.323664
      42      1      5 -0.47043700    -5.399446     7.297762    13.380042
      43      1      4  0.09054800    -4.439713     7.045058    12.461059
      44      1      4 -0.13110100    -4.522534     6.068165    11.469534
      45      1      3 -0.12036300    -3.381575     5.791409    10.518879
      46      1      2  0.10654300    -6.426093     3.379932    10.895431
      47      1      2  0.10654300    -5.041576     3.849168     9.971153
      48      1      1  0.15207800    -7.629994     4.975114    12.386660
      49      1      1  0.16886500    -7.254547     6.729859    14.087271
      50      1      1  0.17442800    -3.567548     7.683150    12.568690
      51      1      2  0.10428400    -3.785701     5.737681     9.504219
      52      1      2  0.10428400    -2.996130     4.794970    10.763506
      53      1      3 -0.13802400    -2.211718     6.781904    10.484179
      54      1      4 -0.03113600    -1.187004     6.363261     9.451279
      55      1      4 -0.19619400    -1.301895     6.898636     8.158813
      56      1      4  0.07968200    -0.406956     6.503787     7.179312
      57      1      5 -0.47043700     0.583676     5.618610     7.390881
      58      1      4  0.09054800     0.693129     5.121690     8.641233
      59      1      4 -0.13110100    -0.158317     5.437030     9.704689
      60      1      3 -0.12036300     0.064511     4.750219    11.032418
      61      1      2  0.10654300    -2.582862     7.786598    10.240339
      62      1      2  0.10654300    -1.735672     6.884010    11.464599
      63      1      1  0.15207800    -2.081235     7.614260     7.913335
      64      1      1  0.16886500    -0.466824     6.902198     6.170587
      65      1      1  0.17442800     1.518943     4.425034     8.769405
      66      1      2  0.10428400     1.122973     4.851406    11.306390
      67      1      2  0.10428400    -0.484331     5.250068    11.835619
      68      1      3 -0.13802400    -0.328002     3.269004    10.973841
      69      1      4 -0.03113600    -0.229046     2.586815    12.317986
      70      1      4 -0.19619400    -1.331813     2.662231    13.184284
      71      1      4  0.07968200    -1.268703     2.039051    14.420029
      72      1      5 -0.47043700    -0.198369     1.343738    14.845245
      73      1      4  0.09054800     0.858888     1.283718    14.007415
      74      1      4 -0.13110100     0.914258     1.888373    12.748657
      75      1      3 -0.12036300     2.179820     1.748671    11.936692
      76      1      2  0.10654300    -1.355129     3.161147    10.600788
      77      1      2  0.10654300     0.284929     2.743537    10.235548
      78      1      1  0.15207800    -2.235368     3.196602    12.908374
      79      1      1  0.16886500    -2.101894     2.084855    15.117130
      80      1      1  0.17442800     1.698628     0.710214    14.394324
      81      1      2  0.10428400     3.031682     1.604652    12.614763
      82      1      2  0.10428400     2.382754     2.702594    11.434576
      83      1      3 -0.13802400     2.155624     0.629305    10.886320
      84      1      4 -0.03113600     2.101601    -0.770530    11.453687
      85      1      4 -0.19619400     3.288334    -1.315324    11.970921
      86      1      4  0.07968200     3.276883    -2.595826    12.498187
      87      1      5 -0.47043700     2.176021    -3.365574    12.556575
      88      1      4  0.09054800     1.037667    -2.824311    12.072676
      89      1      4 -0.13110100     0.932631    -1.551649    11.500731
      90      1      3 -0.12036300    -0.419346    -1.119076    10.982081
      91      1      2  0.10654300     3.066530     0.708473    10.276920
      92      1      2  0.10654300     1.342321     0.790272    10.181246
      93      1      1  0.15207800     4.217672    -0.753879    11.960628
      94      1      1  0.16886500     4.180559    -3.045310    12.899669
      95      1      1  0.17442800     0.169051    -3.473972    12.156092
      96      1      2  0.10428400    -0.504853    -0.030989    10.949800
      97      1      2  0.10428400    -1.166925    -1.426561    11.727017
      98      1      3 -0.13802400    -0.808114    -1.753344     9.631182
      99      1      4 -0.03113600    -0.138489    -1.154511     8.409198
     100      1      4 -0.19619400    -0.314061     0.216851     8.159235
     101      1      4  0.07968200     0.282684     0.799117     7.053138
