LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=cyclic_orth800_uid000644_sk6_rg2_pl1_alternating__3c86d36a52d4 topology=cyclic
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

    1012 atoms
    1039 bonds
    1888 angles
    2571 dihedrals
     162 impropers

       6 atom types
       7 bond types
      11 angle types
      11 dihedral types
       1 improper types

    -61.681983      33.842947 xlo xhi
    -60.834848      17.823494 ylo yhi
    -46.399279       5.087609 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=108
       2     1.008000 # boss_type=HC count=440
       3    12.011000 # boss_type=CT count=220
       4    12.011000 # boss_type=CA count=162
       5    15.999000 # boss_type=OS count=54
       6    32.067000 # boss_type=S count=28

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=108
       2     0.030000     2.500000 # boss_type=HC count=440
       3     0.066000     3.500000 # boss_type=CT count=220
       4     0.070000     3.550000 # boss_type=CA count=162
       5     0.140000     2.900000 # boss_type=OS count=54
       6     0.355000     3.600000 # boss_type=S count=28

Bond Coeffs

       1   268.000000     1.529000 # pattern=CT-CT
       2   222.000000     1.810000 # pattern=CT-S
       3   340.000000     1.090000 # pattern=CT-HC
       4   320.000000     1.410000 # pattern=CT-OS
       5   450.000000     1.364000 # pattern=CA-OS
       6   469.000000     1.400000 # pattern=CA-CA
       7   367.000000     1.080000 # pattern=CA-HA

Angle Coeffs

       1    37.500000   110.700000 # pattern=CT-CT-HC
       2    58.350000   112.700000 # pattern=CT-CT-CT
       3    33.000000   107.800000 # pattern=HC-CT-HC
       4    50.000000   114.700000 # pattern=CT-CT-S
       5    35.000000   109.500000 # pattern=HC-CT-S
       6    62.000000    98.900000 # pattern=CT-S-CT
       7    50.000000   109.500000 # pattern=CT-CT-OS
       8    75.000000   111.000000 # pattern=CA-OS-CT
       9    70.000000   120.000000 # pattern=CA-CA-OS
      10    63.000000   120.000000 # pattern=CA-CA-CA
      11    35.000000   120.000000 # pattern=CA-CA-HA

Dihedral Coeffs

       1     0.000000     0.000000     0.452000     0.000000 # pattern=HC-CT-CT-S
       2     0.000000     0.000000     0.300000     0.000000 # pattern=HC-CT-CT-HC
       3    -1.565000    -0.009000    -0.450000     0.000000 # pattern=CT-CT-CT-S
