LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=cyclic_orth800_uid000428_sk7_rg0_pl1_block__f44dead4374f topology=cyclic
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

    1015 atoms
    1050 bonds
    1925 angles
    2730 dihedrals
     210 impropers

       5 atom types
       6 bond types
      10 angle types
      10 dihedral types
       1 improper types

    -24.622979      36.941427 xlo xhi
    -33.744549       9.079352 ylo yhi
    -30.153180      22.644853 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=140
       2     1.008000 # boss_type=HC count=420
       3    12.011000 # boss_type=CT count=210
       4    12.011000 # boss_type=CA count=210
       5    32.067000 # boss_type=S count=35

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=140
       2     0.030000     2.500000 # boss_type=HC count=420
       3     0.066000     3.500000 # boss_type=CT count=210
       4     0.070000     3.550000 # boss_type=CA count=210
       5     0.355000     3.600000 # boss_type=S count=35

Bond Coeffs

       1   317.000000     1.510000 # pattern=CA-CT
       2   469.000000     1.400000 # pattern=CA-CA
       3   340.000000     1.090000 # pattern=CT-HC
       4   367.000000     1.080000 # pattern=CA-HA
       5   268.000000     1.529000 # pattern=CT-CT
       6   222.000000     1.810000 # pattern=CT-S

Angle Coeffs

       1    35.000000   109.500000 # pattern=CA-CT-HC
       2    63.000000   114.000000 # pattern=CA-CT-CT
       3    33.000000   107.800000 # pattern=HC-CT-HC
       4    37.500000   110.700000 # pattern=CT-CT-HC
       5    70.000000   120.000000 # pattern=CA-CA-CT
       6    63.000000   120.000000 # pattern=CA-CA-CA
       7    35.000000   120.000000 # pattern=CA-CA-HA
       8    58.350000   112.700000 # pattern=CT-CT-CT
       9    50.000000   114.700000 # pattern=CT-CT-S
      10    62.000000    98.900000 # pattern=CT-S-CT

Dihedral Coeffs

       1     0.000000     0.000000     0.000000     0.000000 # pattern=CA-CA-CT-HC
       2     0.000000     0.150000     0.000000     0.000000 # pattern=CA-CA-CT-CT
       3     0.000000     7.250000     0.000000     0.000000 # pattern=CA-CA-CA-CT
       4     0.000000     0.000000     0.462000     0.000000 # pattern=CA-CT-CT-HC
       5     0.000000     0.000000     0.300000     0.000000 # pattern=HC-CT-CT-HC
       6     0.000000     0.000000     0.452000     0.000000 # pattern=HC-CT-CT-S
       7    -1.565000    -0.009000    -0.450000     0.000000 # pattern=CT-CT-CT-S
       8     0.925000    -0.576000     0.677000     0.000000 # pattern=CT-CT-S-CT
       9     0.000000     0.000000     0.647000     0.000000 # pattern=CT-S-CT-HC
      10     0.850000    -0.200000     0.200000     0.000000 # pattern=CT-CT-CT-CT

Improper Coeffs

       1     2.500000  -1   2 # pattern=CA-CA-CA-CT

Atoms

       1      1      3 -0.12717800    11.394507    -5.932339    -8.114145
       2      1      4 -0.08424300    10.445146    -5.482795    -9.199301
       3      1      4 -0.13550500     9.434779    -4.559014    -8.908905
       4      1      4 -0.13465300     8.527852    -4.165750    -9.893426
       5      1      4 -0.08785300     8.607711    -4.692155   -11.188830
       6      1      3 -0.12938800     7.547929    -4.348158   -12.210938
       7      1      4 -0.13349300     9.632387    -5.597416   -11.488453
       8      1      4 -0.12418500    10.544679    -5.986877   -10.502613
       9      1      2  0.09856300    11.308083    -5.270844    -7.243394
      10      1      2  0.09856300    12.419138    -5.791292    -8.483013
      11      1      1  0.13645400     9.324882    -4.157912    -7.904312
      12      1      1  0.13744900     7.726598    -3.479211    -9.628345
      13      1      2  0.10152700     8.033963    -4.206039   -13.184601
      14      1      2  0.10152700     7.095966    -3.379884   -11.959351
      15      1      1  0.13858700     9.712894    -6.024124   -12.485163
      16      1      1  0.14382800    11.323891    -6.701477   -10.755911
      17      1      3 -0.12717800    11.221967    -7.399024    -7.685131
      18      1      4 -0.08424300     9.880696    -7.777571    -7.095126
      19      1      4 -0.13550500     9.253258    -8.962059    -7.505659
      20      1      4 -0.13465300     8.024210    -9.347794    -6.964054
      21      1      4 -0.08785300     7.390264    -8.553308    -6.002430
      22      1      3 -0.12938800     6.040051    -8.951352    -5.455194
      23      1      4 -0.13349300     8.023808    -7.382386    -5.573011
      24      1      4 -0.12418500     9.261473    -7.005378    -6.104456
      25      1      2  0.09856300    11.433400    -8.043228    -8.548564
      26      1      2  0.09856300    11.988198    -7.636403    -6.935779
      27      1      1  0.13645400     9.714950    -9.595786    -8.259366
      28      1      1  0.13744900     7.559076   -10.268913    -7.308950
      29      1      2  0.10152700     5.549153    -9.601053    -6.191874
      30      1      2  0.10152700     5.406708    -8.059833    -5.382133
      31      1      1  0.13858700     7.555594    -6.751748    -4.819688
      32      1      1  0.14382800     9.727883    -6.095631    -5.736516
      33      1      3 -0.12717800     6.453737    -5.420875   -12.346203
      34      1      4 -0.08424300     5.665493    -5.635431   -11.074944
      35      1      4 -0.13550500     6.074816    -6.611133   -10.158530
      36      1      4 -0.13465300     5.423454    -6.751619    -8.935444
      37      1      4 -0.08785300     4.336455    -5.934419    -8.607553
      38      1      3 -0.12938800     3.666176    -6.075564    -7.261760
      39      1      4 -0.13349300     3.903404    -4.980383    -9.536713
      40      1      4 -0.12418500     4.568469    -4.825831   -10.757065
      41      1      2  0.09856300     6.893527    -6.374216   -12.666884
      42      1      2  0.09856300     5.761837    -5.129350   -13.146778
      43      1      1  0.13645400     6.938675    -7.238954   -10.367878
      44      1      1  0.13744900     5.790697    -7.492093    -8.230224
      45      1      2  0.10152700     4.432801    -6.013045    -6.478626
      46      1      2  0.10152700     3.003977    -5.217233    -7.101645
      47      1      1  0.13858700     3.057405    -4.334940    -9.311734
      48      1      1  0.14382800     4.231509    -4.059988   -11.451564
      49      1      3 -0.12717800     6.106114    -9.699323    -4.120545
      50      1      4 -0.08424300     6.250374    -8.796265    -2.919409
      51      1      4 -0.13550500     7.460154    -8.718731    -2.220575
      52      1      4 -0.13465300     7.584374    -7.879091    -1.110868
      53      1      4 -0.08785300     6.501496    -7.102038    -0.682125
      54      1      3 -0.12938800     6.623119    -6.206352     0.527791
      55      1      4 -0.13349300     5.291624    -7.179398    -1.382988
      56      1      4 -0.12418500     5.167580    -8.018182    -2.490611
      57      1      2  0.09856300     5.175083   -10.265356    -3.987101
      58      1      2  0.09856300     6.913261   -10.441347    -4.135451
      59      1      1  0.13645400     8.317174    -9.307257    -2.540378
      60      1      1  0.13744900     8.531671    -7.841523    -0.577167
      61      1      2  0.10152700     7.677434    -5.966888     0.716489
      62      1      2  0.10152700     6.141056    -5.250628     0.282679
      63      1      1  0.13858700     4.434652    -6.586574    -1.071897
      64      1      1  0.14382800     4.217632    -8.059305    -3.019798
      65      1      3 -0.12717800     0.167872    -8.620818    -2.117811
      66      1      4 -0.08424300     0.940719    -8.291216    -3.372632
      67      1      4 -0.13550500     1.065368    -6.963281    -3.795738
      68      1      4 -0.13465300     1.714079    -6.653179    -4.993755
      69      1      4 -0.08785300     2.258322    -7.663874    -5.793048
      70      1      3 -0.12938800     2.884426    -7.389495    -7.143175
      71      1      4 -0.13349300     2.137841    -8.993238    -5.359670
      72      1      4 -0.12418500     1.493024    -9.305026    -4.160867
      73      1      2  0.09856300     0.755934    -9.335989    -1.528268
      74      1      2  0.09856300     0.076422    -7.724268    -1.491392
      75      1      1  0.13645400     0.625010    -6.159858    -3.209618
      76      1      1  0.13744900     1.757305    -5.611618    -5.298066
      77      1      2  0.10152700     2.087412    -7.412568    -7.896757
      78      1      2  0.10152700     3.560400    -8.220307    -7.381536
      79      1      1  0.13858700     2.532621    -9.802612    -5.970099
      80      1      1  0.14382800     1.403033   -10.346160    -3.861699
      81      1      3 -0.12717800     5.962008    -6.784340     1.785527
      82      1      4 -0.08424300     6.797940    -7.834373     2.478495
      83      1      4 -0.13550500     6.713865    -9.180651     2.104430
      84      1      4 -0.13465300     7.490859   -10.146467     2.748587
      85      1      4 -0.08785300     8.362093    -9.784479     3.783690
      86      1      3 -0.12938800     9.179743   -10.827390     4.508013
      87      1      4 -0.13349300     8.449879    -8.437282     4.153406
      88      1      4 -0.12418500     7.679037    -7.471087     3.504157
      89      1      2  0.09856300     4.969040    -7.195190     1.562513
      90      1      2  0.09856300     5.786425    -5.964137     2.494274
      91      1      1  0.13645400     6.043059    -9.486684     1.303843
      92      1      1  0.13744900     7.402188   -11.185315     2.439768
      93      1      2  0.10152700     9.963090   -10.342088     5.104408
      94      1      2  0.10152700     9.708040   -11.424318     3.753977
      95      1      1  0.13858700     9.110763    -8.131331     4.961428
      96      1      1  0.14382800     7.765148    -6.432259     3.814079
      97      1      3 -0.12717800    -4.738028    -5.528098    -5.236757
      98      1      4 -0.08424300    -3.847762    -6.494406    -4.496253
      99      1      4 -0.13550500    -3.581366    -6.312887    -3.133335
     100      1      4 -0.13465300    -2.744191    -7.197315    -2.448831
     101      1      4 -0.08785300    -2.157691    -8.279082    -3.116239
     102      1      3 -0.12938800    -1.220432    -9.218080    -2.392984
     103      1      4 -0.13349300    -2.431587    -8.463350    -4.477745
     104      1      4 -0.12418500    -3.273739    -7.583165    -5.159964
     105      1      2  0.09856300    -4.461859    -5.512542    -6.299430
     106      1      2  0.09856300    -4.539603    -4.514324    -4.865882
     107      1      1  0.13645400    -4.018787    -5.472221    -2.599774
     108      1      1  0.13744900    -2.548061    -7.031423    -1.392574
     109      1      2  0.10152700    -1.123568   -10.152831    -2.960171
     110      1      2  0.10152700    -1.683892    -9.499286    -1.438451
     111      1      1  0.13858700    -1.978017    -9.287112    -5.024677
     112      1      1  0.14382800    -3.464465    -7.745922    -6.218480
     113      1      3 -0.12717800     8.350038   -11.763483     5.395912
     114      1      4 -0.08424300     7.750703   -11.083602     6.605084
     115      1      4 -0.13550500     8.480401   -10.956267     7.791391
     116      1      4 -0.13465300     7.915456   -10.331395     8.907521
     117      1      4 -0.08785300     6.608124    -9.823468     8.865761
     118      1      3 -0.12938800     6.020432    -9.176524    10.103954
     119      1      4 -0.13349300     5.899279    -9.913134     7.661971
     120      1      4 -0.12418500     6.460266   -10.544924     6.548415
     121      1      2  0.09856300     8.996242   -12.580319     5.742574
     122      1      2  0.09856300     7.553859   -12.248170     4.816444
     123      1      1  0.13645400     9.493731   -11.345642     7.858289
     124      1      1  0.13744900     8.503630   -10.254433     9.820199
     125      1      2  0.10152700     6.199215    -8.095112    10.053640
     126      1      2  0.10152700     6.571438    -9.542800    10.980451
     127      1      1  0.13858700     4.898945    -9.497970     7.568979
     128      1      1  0.14382800     5.883455   -10.602160     5.626906
     129      1      3 -0.12717800    -9.434251    -1.814105    -7.790340
     130      1      4 -0.08424300    -8.612673    -2.870733    -7.091151
     131      1      4 -0.13550500    -8.378219    -4.109866    -7.696945
     132      1      4 -0.13465300    -7.628808    -5.090189    -7.042297
     133      1      4 -0.08785300    -7.088302    -4.842713    -5.775696
     134      1      3 -0.12938800    -6.222628    -5.870838    -5.088153
     135      1      4 -0.13349300    -7.329594    -3.605751    -5.166353
     136      1      4 -0.12418500    -8.090091    -2.633010    -5.815551
     137      1      2  0.09856300    -9.402429    -1.978423    -8.873666
     138      1      2  0.09856300    -8.948257    -0.844717    -7.624532
     139      1      1  0.13645400    -8.785692    -4.318439    -8.683171
     140      1      1  0.13744900    -7.467627    -6.047295    -7.531200
     141      1      2  0.10152700    -6.506166    -5.922997    -4.028868
     142      1      2  0.10152700    -6.425160    -6.867791    -5.500354
     143      1      1  0.13858700    -6.921648    -3.388926    -4.181698
     144      1      1  0.14382800    -8.270065    -1.685122    -5.317343
     145      1      3 -0.12717800     4.522448    -9.448691    10.305798
     146      1      4 -0.08424300     4.075613    -9.227122    11.729945
     147      1      4 -0.13550500     4.097455   -10.289591    12.641895
