LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=linear_orth800_uid000248_sk2_rg1_pl2_alternating__4a3c043aa822 topology=linear
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

     997 atoms
    1022 bonds
    1857 angles
    2516 dihedrals
     156 impropers

       5 atom types
       6 bond types
      10 angle types
       7 dihedral types
       1 improper types

    -54.779026       3.782791 xlo xhi
    -17.380181      39.360454 ylo yhi
    -11.386019      55.872710 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=104
       2     1.008000 # boss_type=HC count=438
       3    12.011000 # boss_type=CT count=218
       4    12.011000 # boss_type=CA count=156
       5    15.999000 # boss_type=OS count=81

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=104
       2     0.030000     2.500000 # boss_type=HC count=438
       3     0.066000     3.500000 # boss_type=CT count=218
       4     0.070000     3.550000 # boss_type=CA count=156
       5     0.140000     2.900000 # boss_type=OS count=81

Bond Coeffs

       1   320.000000     1.410000 # pattern=CT-OS
       2   268.000000     1.529000 # pattern=CT-CT
       3   340.000000     1.090000 # pattern=CT-HC
       4   450.000000     1.364000 # pattern=CA-OS
       5   469.000000     1.400000 # pattern=CA-CA
       6   367.000000     1.080000 # pattern=CA-HA

Angle Coeffs

       1    35.000000   109.500000 # pattern=HC-CT-OS
       2    33.000000   107.800000 # pattern=HC-CT-HC
       3    60.000000   109.500000 # pattern=CT-OS-CT
       4    50.000000   109.500000 # pattern=CT-CT-OS
       5    37.500000   110.700000 # pattern=CT-CT-HC
       6    58.350000   112.700000 # pattern=CT-CT-CT
       7    75.000000   111.000000 # pattern=CA-OS-CT
       8    70.000000   120.000000 # pattern=CA-CA-OS
       9    63.000000   120.000000 # pattern=CA-CA-CA
      10    35.000000   120.000000 # pattern=CA-CA-HA

Dihedral Coeffs

       1     0.000000     0.000000     0.760000     0.000000 # pattern=CT-OS-CT-HC
       2     0.250000    -0.250000     0.500000     0.000000 # pattern=CT-CT-OS-CT
       3     0.000000     0.000000     0.300000     0.000000 # pattern=HC-CT-CT-OS
       4     1.300000    -0.500000     0.000000     0.000000 # pattern=CT-CT-CT-OS
       5     0.850000    -0.200000     0.200000     0.000000 # pattern=CT-CT-CT-CT
       6     0.000000     3.370000     0.000000     0.300000 # pattern=CA-CA-OS-CT
       7     0.000000     7.250000     0.000000     0.000000 # pattern=CA-CA-CA-OS

Improper Coeffs

       1     2.500000  -1   2 # pattern=CA-CA-CA-OS

Atoms

       1      1      3 -0.05519500   -17.409638     1.141779     0.372060
       2      1      5 -0.37721700   -16.026664     0.842765     0.238890
       3      1      3  0.00637900   -15.429057     1.422071    -0.920137
       4      1      3 -0.21316900   -15.140909     2.908390    -0.715846
       5      1      2  0.08271400   -17.962346     0.818056    -0.515096
       6      1      2  0.08271400   -17.564371     2.209888     0.545519
       7      1      2  0.08271400   -17.794505     0.595838     1.237855
       8      1      2  0.09418400   -16.062073     1.243054    -1.796244
       9      1      2  0.09418400   -14.486334     0.889089    -1.084830
      10      1      2  0.10134600   -16.080638     3.466525    -0.633688
      11      1      2  0.10134600   -14.631341     3.043063     0.246521
      12      1      3 -0.21334000   -14.282244     3.517221    -1.823582
      13      1      3  0.00689900   -14.957334     3.499065    -3.193741
      14      1      5 -0.37944900   -14.210415     4.260843    -4.142334
      15      1      3  0.01033200   -13.112034     3.545874    -4.704037
      16      1      3 -0.21250000   -12.390764     4.436904    -5.711569
      17      1      2  0.10622700   -13.319793     2.995134    -1.869427
      18      1      2  0.10622700   -14.042037     4.554859    -1.559835
      19      1      2  0.09873500   -15.111407     2.479969    -3.564879
      20      1      2  0.09873500   -15.942252     3.972425    -3.118269
      21      1      2  0.09654100   -13.497777     2.661058    -5.223233
      22      1      2  0.09654100   -12.419166     3.219792    -3.921839
      23      1      2  0.09252600   -11.733094     3.807667    -6.323086
      24      1      2  0.09252600   -13.120701     4.900612    -6.386019
      25      1      3 -0.20690900   -11.532301     5.533584    -5.076055
      26      1      3  0.00448000   -12.314517     6.560760    -4.266000
      27      1      5 -0.38335000   -11.413057     7.607158    -3.893318
      28      1      3  0.00671700   -12.073501     8.620296    -3.136025
      29      1      3 -0.20334600   -11.045738     9.684473    -2.771954
      30      1      2  0.10009500   -10.760391     5.083258    -4.439166
      31      1      2  0.10009500   -10.984090     6.053756    -5.872253
      32      1      2  0.10306700   -13.131003     6.979414    -4.864846
      33      1      2  0.10306700   -12.720340     6.110047    -3.355364
      34      1      2  0.10002800   -12.501230     8.179639    -2.228043
      35      1      2  0.10002800   -12.879156     9.059232    -3.735725
      36      1      2  0.08801400   -10.593139    10.081317    -3.689342
      37      1      2  0.08801400   -10.225936     9.219471    -2.210193
      38      1      3 -0.20426700   -11.668393    10.813607    -1.959524
      39      1      3  0.01090900   -10.635918    11.874103    -1.586754
      40      1      5 -0.30752700   -11.304976    12.885288    -0.833466
      41      1      4  0.09952700   -10.546934    13.927713    -0.378481
      42      1      4 -0.14083700   -11.243699    14.872122     0.374791
      43      1      4 -0.13840400   -10.584588    15.985862     0.900495
      44      1      4  0.09663200    -9.219169    16.173844     0.681087
      45      1      5 -0.31004100    -8.705123    17.300999     1.254761
      46      1      3  0.01386900    -7.314753    17.582439     1.113561
      47      1      3 -0.20861600    -6.472477    16.853172     2.161757
      48      1      4 -0.18356800    -8.521669    15.231666    -0.072721
      49      1      4 -0.18825900    -9.182873    14.112641    -0.600936
