LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=cyclic_orth800_uid000691_sk7_rg1_pl0_random__4c1ff13b0cac topology=cyclic
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

    1015 atoms
    1050 bonds
    1925 angles
    2730 dihedrals
     210 impropers

       5 atom types
       6 bond types
      10 angle types
      10 dihedral types
       1 improper types

    -41.763838      34.741882 xlo xhi
    -16.119464      34.182392 ylo yhi
    -29.981691      39.798279 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=140
       2     1.008000 # boss_type=HC count=420
       3    12.011000 # boss_type=CT count=210
       4    12.011000 # boss_type=CA count=210
       5    32.067000 # boss_type=S count=35

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=140
       2     0.030000     2.500000 # boss_type=HC count=420
       3     0.066000     3.500000 # boss_type=CT count=210
       4     0.070000     3.550000 # boss_type=CA count=210
       5     0.355000     3.600000 # boss_type=S count=35

Bond Coeffs

       1   268.000000     1.529000 # pattern=CT-CT
       2   222.000000     1.810000 # pattern=CT-S
       3   340.000000     1.090000 # pattern=CT-HC
       4   317.000000     1.510000 # pattern=CA-CT
       5   469.000000     1.400000 # pattern=CA-CA
       6   367.000000     1.080000 # pattern=CA-HA

Angle Coeffs

       1    37.500000   110.700000 # pattern=CT-CT-HC
       2    58.350000   112.700000 # pattern=CT-CT-CT
       3    33.000000   107.800000 # pattern=HC-CT-HC
       4    50.000000   114.700000 # pattern=CT-CT-S
       5    35.000000   109.500000 # pattern=HC-CT-S
       6    62.000000    98.900000 # pattern=CT-S-CT
       7    63.000000   114.000000 # pattern=CA-CT-CT
       8    70.000000   120.000000 # pattern=CA-CA-CT
       9    63.000000   120.000000 # pattern=CA-CA-CA
      10    35.000000   120.000000 # pattern=CA-CA-HA

Dihedral Coeffs

       1     0.000000     0.000000     0.452000     0.000000 # pattern=HC-CT-CT-S
       2     0.000000     0.000000     0.300000     0.000000 # pattern=HC-CT-CT-HC
       3    -1.565000    -0.009000    -0.450000     0.000000 # pattern=CT-CT-CT-S
       4     0.925000    -0.576000     0.677000     0.000000 # pattern=CT-CT-S-CT
       5     0.000000     0.000000     0.647000     0.000000 # pattern=CT-S-CT-HC
       6     0.850000    -0.200000     0.200000     0.000000 # pattern=CT-CT-CT-CT
       7     0.000000     0.000000     0.000000     0.000000 # pattern=CA-CA-CT-HC
       8     0.000000     0.150000     0.000000     0.000000 # pattern=CA-CA-CT-CT
       9     0.000000     7.250000     0.000000     0.000000 # pattern=CA-CA-CA-CT
      10     0.000000     0.000000     0.462000     0.000000 # pattern=CA-CT-CT-HC

Improper Coeffs

       1     2.500000  -1   2 # pattern=CA-CA-CA-CT

Atoms

       1      1      3 -0.15914400     6.946282     4.167046     0.556273
       2      1      3 -0.08260500     7.653153     3.338951     1.631643
       3      1      5 -0.38488300     7.446135     3.989823     3.316351
       4      1      3 -0.08545700     8.757892     5.254450     3.339045
       5      1      3 -0.17851300     8.679914     6.137592     4.587826
       6      1      2  0.10566200     7.151071     5.238161     0.674806
       7      1      2  0.10566200     7.392004     3.882071    -0.406966
       8      1      2  0.11424200     8.725193     3.284266     1.415864
       9      1      2  0.11424200     7.274908     2.311090     1.618758
      10      1      2  0.12089900     8.657656     5.888727     2.452822
      11      1      2  0.12089900     9.729542     4.752958     3.291256
      12      1      2  0.10449800     9.454084     6.911222     4.506402
      13      1      2  0.10449800     7.720027     6.669473     4.595841
      14      1      3 -0.15914400     5.433413     3.923491     0.422323
      15      1      3 -0.08260500     4.599908     4.510408     1.559124
      16      1      5 -0.38488300     2.824210     4.422319     1.150756
      17      1      3 -0.08545700     2.183428     5.368980     2.572920
      18      1      3 -0.17851300     0.663769     5.536370     2.538600
      19      1      2  0.10566200     5.120700     4.379600    -0.527105
      20      1      2  0.10566200     5.242882     2.846712     0.331144
      21      1      2  0.11424200     4.873429     5.556463     1.726013
      22      1      2  0.11424200     4.743935     3.946472     2.481982
      23      1      2  0.12089900     2.662669     6.354170     2.588178
      24      1      2  0.12089900     2.464179     4.840620     3.490223
      25      1      2  0.10449800     0.189946     4.549254     2.562331
      26      1      2  0.10449800     0.364848     6.045815     3.464158
      27      1      3 -0.13338500     8.882786     5.372821     5.901438
      28      1      4 -0.08448600     8.864587     6.267820     7.118461
      29      1      4 -0.13400600     7.716917     6.994182     7.459099
      30      1      4 -0.13430300     7.685240     7.780375     8.613658
      31      1      4 -0.08493000     8.802918     7.856574     9.452010
      32      1      3 -0.13610300     8.773104     8.690732    10.708684
      33      1      4 -0.13198600     9.950214     7.132188     9.111060
