LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=linear_orth800_uid000031_sk1_rg0_pl1_block__4fe7d9d2d887 topology=linear
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

     934 atoms
     971 bonds
    1710 angles
    2357 dihedrals
     228 impropers

       5 atom types
       6 bond types
      10 angle types
       7 dihedral types
       1 improper types

    -59.956300      46.473000 xlo xhi
    -67.200900       4.025700 ylo yhi
      2.055200      41.618000 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=152
       2     1.008000 # boss_type=HC count=318
       3    12.011000 # boss_type=CT count=158
       4    12.011000 # boss_type=CA count=228
       5    15.999000 # boss_type=OS count=78

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=152
       2     0.030000     2.500000 # boss_type=HC count=318
       3     0.066000     3.500000 # boss_type=CT count=158
       4     0.070000     3.550000 # boss_type=CA count=228
       5     0.140000     2.900000 # boss_type=OS count=78

Bond Coeffs

       1   320.000000     1.410000 # pattern=CT-OS
       2   268.000000     1.529000 # pattern=CT-CT
       3   340.000000     1.090000 # pattern=CT-HC
       4   450.000000     1.364000 # pattern=CA-OS
       5   469.000000     1.400000 # pattern=CA-CA
       6   367.000000     1.080000 # pattern=CA-HA

Angle Coeffs

       1    35.000000   109.500000 # pattern=HC-CT-OS
       2    33.000000   107.800000 # pattern=HC-CT-HC
       3    60.000000   109.500000 # pattern=CT-OS-CT
       4    50.000000   109.500000 # pattern=CT-CT-OS
       5    37.500000   110.700000 # pattern=CT-CT-HC
       6    58.350000   112.700000 # pattern=CT-CT-CT
       7    75.000000   111.000000 # pattern=CA-OS-CT
       8    70.000000   120.000000 # pattern=CA-CA-OS
       9    63.000000   120.000000 # pattern=CA-CA-CA
      10    35.000000   120.000000 # pattern=CA-CA-HA

Dihedral Coeffs

       1     0.000000     0.000000     0.760000     0.000000 # pattern=CT-OS-CT-HC
       2     0.250000    -0.250000     0.500000     0.000000 # pattern=CT-CT-OS-CT
       3     0.000000     0.000000     0.300000     0.000000 # pattern=HC-CT-CT-OS
       4     1.300000    -0.500000     0.000000     0.000000 # pattern=CT-CT-CT-OS
       5     0.000000     3.370000     0.000000     0.300000 # pattern=CA-CA-OS-CT
       6     0.000000     7.250000     0.000000     0.000000 # pattern=CA-CA-CA-OS
       7     0.850000    -0.200000     0.200000     0.000000 # pattern=CT-CT-CT-CT

Improper Coeffs

       1     2.500000  -1   2 # pattern=CA-CA-CA-OS

Atoms

       1      1      3 -0.05594600     7.505100    -7.293200    13.591200
       2      1      5 -0.37803200     7.744100    -5.980200    14.080900
       3      1      3  0.00583400     7.005800    -4.983200    13.373300
       4      1      3 -0.21535300     5.637300    -4.783100    14.016200
       5      1      2  0.08254900     7.830200    -7.376700    12.549600
       6      1      2  0.08254900     6.447900    -7.559300    13.678000
       7      1      2  0.08254900     8.088700    -7.994500    14.193700
       8      1      2  0.09524400     6.924200    -5.238800    12.310200
       9      1      2  0.09524400     7.578300    -4.051700    13.442700
      10      1      2  0.10268100     5.095800    -5.733700    14.039700
      11      1      2  0.10268100     5.772500    -4.486800    15.064000
      12      1      3 -0.21331700     4.806100    -3.745400    13.271000
      13      1      3  0.01285600     3.483800    -3.473100    13.984800
      14      1      5 -0.30754800     2.701500    -2.539600    13.240700
      15      1      4  0.09960900     1.841300    -3.010100    12.289200
      16      1      4 -0.13804100     1.643900    -4.342400    11.928100
      17      1      4 -0.13717000     0.718300    -4.680000    10.929200
      18      1      4  0.09899100    -0.010800    -3.685600    10.279500
      19      1      5 -0.30695300    -0.928500    -3.878200     9.286300
      20      1      3  0.01127500    -1.368900    -5.215900     9.057700
      21      1      3 -0.21815500    -2.488800    -5.191400     8.016900
      22      1      4 -0.18251000     0.197600    -2.352300    10.630800
      23      1      4 -0.18492600     1.112800    -2.018000    11.631400
      24      1      2  0.10451400     5.361900    -2.804000    13.177500
      25      1      2  0.10451400     4.620300    -4.085600    12.245400
      26      1      2  0.10767800     2.930500    -4.386500    14.220000
      27      1      2  0.10767800     3.695300    -2.998800    14.950600
      28      1      1  0.15788900     2.194700    -5.152400    12.394200
      29      1      1  0.15764100     0.603400    -5.729600    10.678500
      30      1      2  0.10340500    -0.542200    -5.821500     8.667800
      31      1      2  0.10340500    -1.736300    -5.663200     9.988000
      32      1      2  0.11377600    -2.874200    -6.207900     7.876000
      33      1      2  0.11377600    -2.063700    -4.876900     7.055200
      34      1      1  0.14696300    -0.357300    -1.565900    10.125900
      35      1      1  0.14465000     1.260500    -0.974300    11.897300
      36      1      3 -0.21171600    -3.638500    -4.228400     8.344200
      37      1      3  0.01011400    -4.328800    -4.505700     9.678600
      38      1      5 -0.30742300    -4.798700    -5.852800     9.738800
      39      1      4  0.09918400    -6.119500    -6.081600     9.475100
      40      1      4 -0.13586100    -6.972200    -5.236200     8.766700
      41      1      4 -0.13602300    -8.315900    -5.584500     8.569500
      42      1      4  0.10217600    -8.815300    -6.782300     9.078700
      43      1      5 -0.30500000   -10.104900    -7.223300     8.980900
      44      1      3  0.01016300   -11.064200    -6.313500     8.444800
      45      1      3 -0.21742500   -12.461000    -6.899400     8.647500
