LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=cyclic_orth800_uid000443_sk6_rg1_pl0_block__36cdea54acda topology=cyclic
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

    1023 atoms
    1051 bonds
    1907 angles
    2599 dihedrals
     168 impropers

       5 atom types
       6 bond types
      10 angle types
       7 dihedral types
       1 improper types

    -20.239157      27.901654 xlo xhi
     -8.329012      75.869310 ylo yhi
    -60.690135      19.819648 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=112
       2     1.008000 # boss_type=HC count=440
       3    12.011000 # boss_type=CT count=220
       4    12.011000 # boss_type=CA count=168
       5    15.999000 # boss_type=OS count=83

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=112
       2     0.030000     2.500000 # boss_type=HC count=440
       3     0.066000     3.500000 # boss_type=CT count=220
       4     0.070000     3.550000 # boss_type=CA count=168
       5     0.140000     2.900000 # boss_type=OS count=83

Bond Coeffs

       1   268.000000     1.529000 # pattern=CT-CT
       2   320.000000     1.410000 # pattern=CT-OS
       3   340.000000     1.090000 # pattern=CT-HC
       4   450.000000     1.364000 # pattern=CA-OS
       5   469.000000     1.400000 # pattern=CA-CA
       6   367.000000     1.080000 # pattern=CA-HA

Angle Coeffs

       1    37.500000   110.700000 # pattern=CT-CT-HC
       2    58.350000   112.700000 # pattern=CT-CT-CT
       3    33.000000   107.800000 # pattern=HC-CT-HC
       4    50.000000   109.500000 # pattern=CT-CT-OS
       5    35.000000   109.500000 # pattern=HC-CT-OS
       6    60.000000   109.500000 # pattern=CT-OS-CT
       7    75.000000   111.000000 # pattern=CA-OS-CT
       8    70.000000   120.000000 # pattern=CA-CA-OS
       9    63.000000   120.000000 # pattern=CA-CA-CA
      10    35.000000   120.000000 # pattern=CA-CA-HA

Dihedral Coeffs

       1     0.000000     0.000000     0.300000     0.000000 # pattern=HC-CT-CT-OS
       2     1.300000    -0.500000     0.000000     0.000000 # pattern=CT-CT-CT-OS
       3     0.250000    -0.250000     0.500000     0.000000 # pattern=CT-CT-OS-CT
       4     0.000000     0.000000     0.760000     0.000000 # pattern=CT-OS-CT-HC
       5     0.850000    -0.200000     0.200000     0.000000 # pattern=CT-CT-CT-CT
       6     0.000000     3.370000     0.000000     0.300000 # pattern=CA-CA-OS-CT
       7     0.000000     7.250000     0.000000     0.000000 # pattern=CA-CA-CA-OS

Improper Coeffs

       1     2.500000  -1   2 # pattern=CA-CA-CA-OS

Atoms

       1      1      3 -0.20690900     0.507407     0.033572     1.379859
       2      1      3  0.00448000     0.924508     1.157738     0.431118
       3      1      5 -0.38335000    -0.188561     1.899035    -0.071195
       4      1      3  0.00671700    -0.909009     1.226063    -1.097899
       5      1      3 -0.20334600    -1.936278     2.180371    -1.702772
       6      1      2  0.10009500     1.381346    -0.581354     1.624528
       7      1      2  0.10009500    -0.203296    -0.623956     0.867786
       8      1      2  0.10306700     1.509568     0.756627    -0.404993
       9      1      2  0.10306700     1.567619     1.872119     0.951206
      10      1      2  0.10002800    -1.433132     0.360917    -0.680164
      11      1      2  0.10002800    -0.221339     0.870081    -1.873085
      12      1      2  0.08801400    -2.697633     2.405074    -0.945672
      13      1      2  0.08801400    -2.447965     1.675913    -2.530836
      14      1      3 -0.20645700    -0.160356     0.539523     2.664936
      15      1      3  0.00635200     0.825985     0.738624     3.815531
      16      1      5 -0.38414300     1.820564     1.695006     3.460251
      17      1      3  0.01165800     2.833061     1.849378     4.455040
      18      1      3 -0.21263600     2.361854     2.726271     5.612960
      19      1      2  0.10100200    -0.698046     1.474533     2.471361
      20      1      2  0.10100200    -0.904290    -0.198847     2.987668
      21      1      2  0.10777100     0.273454     1.084594     4.694869
      22      1      2  0.10777100     1.303320    -0.217706     4.059455
      23      1      2  0.09360600     3.176773     0.867956     4.803632
      24      1      2  0.09360600     3.684527     2.332889     3.966126
      25      1      2  0.09023400     2.005334     3.687239     5.222204
      26      1      2  0.09023400     1.502727     2.263251     6.110318
      27      1      3 -0.20462100    -1.362047     3.513736    -2.188926
      28      1      3  0.01094500    -0.212845     3.364666    -3.182298
      29      1      5 -0.30679000     0.111235     4.665162    -3.676208
      30      1      4  0.10110400     1.222207     4.769673    -4.465139
      31      1      4 -0.13777300     1.594111     6.076588    -4.780185
      32      1      4 -0.13708900     2.726995     6.322487    -5.558485
