LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=linear_orth800_uid000008_sk1_rg0_pl0_block__7448b8ff00fc topology=linear
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

     926 atoms
     963 bonds
    1696 angles
    2345 dihedrals
     228 impropers

       5 atom types
       6 bond types
       9 angle types
       7 dihedral types
       1 improper types

    -18.430900      53.487900 xlo xhi
    -25.072500      27.940400 ylo yhi
    -61.322400      33.962300 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=152
       2     1.008000 # boss_type=HC count=314
       3    12.011000 # boss_type=CT count=156
       4    12.011000 # boss_type=CA count=228
       5    15.999000 # boss_type=OS count=76

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=152
       2     0.030000     2.500000 # boss_type=HC count=314
       3     0.066000     3.500000 # boss_type=CT count=156
       4     0.070000     3.550000 # boss_type=CA count=228
       5     0.140000     2.900000 # boss_type=OS count=76

Bond Coeffs

       1   268.000000     1.529000 # pattern=CT-CT
       2   340.000000     1.090000 # pattern=CT-HC
       3   320.000000     1.410000 # pattern=CT-OS
       4   450.000000     1.364000 # pattern=CA-OS
       5   469.000000     1.400000 # pattern=CA-CA
       6   367.000000     1.080000 # pattern=CA-HA

Angle Coeffs

       1    37.500000   110.700000 # pattern=CT-CT-HC
       2    33.000000   107.800000 # pattern=HC-CT-HC
       3    58.350000   112.700000 # pattern=CT-CT-CT
       4    50.000000   109.500000 # pattern=CT-CT-OS
       5    35.000000   109.500000 # pattern=HC-CT-OS
       6    75.000000   111.000000 # pattern=CA-OS-CT
       7    70.000000   120.000000 # pattern=CA-CA-OS
       8    63.000000   120.000000 # pattern=CA-CA-CA
       9    35.000000   120.000000 # pattern=CA-CA-HA

Dihedral Coeffs

       1     0.000000     0.000000     0.300000     0.000000 # pattern=HC-CT-CT-HC
       2     1.300000    -0.500000     0.000000     0.000000 # pattern=CT-CT-CT-OS
       3     0.250000    -0.250000     0.500000     0.000000 # pattern=CA-OS-CT-CT
       4     0.000000     0.000000     0.760000     0.000000 # pattern=CA-OS-CT-HC
       5     0.000000     3.370000     0.000000     0.300000 # pattern=CA-CA-OS-CT
       6     0.000000     7.250000     0.000000     0.000000 # pattern=CA-CA-CA-OS
       7     0.850000    -0.200000     0.200000     0.000000 # pattern=CT-CT-CT-CT

Improper Coeffs

       1     2.500000  -1   2 # pattern=CA-CA-CA-OS

Atoms

       1      1      3 -0.23621500   -12.823500    -3.103800     3.420900
       2      1      3 -0.17691700   -11.346400    -3.103300     3.059900
       3      1      2  0.08263600   -13.113700    -2.174900     3.919900
       4      1      2  0.08263600   -13.430900    -3.197200     2.515100
       5      1      2  0.08263600   -13.067600    -3.942900     4.080000
       6      1      2  0.08261200   -11.126400    -2.236100     2.426000
       7      1      2  0.08261200   -11.134100    -3.996100     2.459800
       8      1      3 -0.21338700   -10.422600    -3.106700     4.276500
       9      1      3  0.01269500   -10.516300    -1.837800     5.121800
      10      1      5 -0.30809800    -9.542400    -1.937700     6.162800
      11      1      4  0.10087200    -9.457100    -0.890800     7.038000
      12      1      4 -0.13657700    -8.494700    -1.042800     8.038500
      13      1      4 -0.13651100    -8.296500    -0.049000     9.004000
      14      1      4  0.10125800    -9.064900     1.112500     8.975100
      15      1      5 -0.30478900    -8.978800     2.159600     9.849500
      16      1      3  0.01131200    -8.005600     2.057400    10.889100
      17      1      3 -0.21695700    -8.085500     3.331900    11.725400
      18      1      4 -0.18566700   -10.027600     1.264400     7.974700
      19      1      4 -0.18483000   -10.225800     0.270500     7.009300
      20      1      2  0.10365000    -9.386200    -3.228900     3.935600
      21      1      2  0.10365000   -10.628600    -3.981500     4.906200
      22      1      2  0.10617300   -10.306100    -0.964200     4.492300
      23      1      2  0.10617300   -11.516900    -1.755000     5.561400
      24      1      1  0.15878600    -7.890700    -1.946500     8.067200
      25      1      1  0.15904200    -7.536100    -0.217900     9.758100
      26      1      2  0.10436200    -7.001300     1.966500    10.457600
      27      1      2  0.10436200    -8.222900     1.189700    11.523700
      28      1      2  0.11429400    -7.920800     4.202100    11.077400
      29      1      2  0.11429400    -9.102100     3.441800    12.122200
      30      1      1  0.14216400   -10.631600     2.168100     7.945200
      31      1      1  0.14372900   -10.985900     0.438800     6.254500
      32      1      3 -0.21171600    -7.072300     3.322200    12.864100
      33      1      3  0.01011400    -7.150700     4.597900    13.698600
      34      1      5 -0.30742300    -6.176800     4.496800    14.738300
      35      1      4  0.09918400    -6.079000     5.552100    15.602000
      36      1      4 -0.13586100    -5.104200     5.408800    16.591900
      37      1      4 -0.13602300    -4.893500     6.411700    17.545100
      38      1      4  0.10217600    -5.661800     7.573400    17.514000
      39      1      5 -0.30500000    -5.564200     8.629300    18.376900
      40      1      3  0.01016300    -4.563700     8.549800    19.392400
      41      1      3 -0.21742500    -4.623400     9.843900    20.202100
      42      1      4 -0.18607400    -6.637400     7.715900    16.525200
      43      1      4 -0.18660900    -6.848000     6.713200    15.572200
      44      1      2  0.10876600    -7.238500     2.453300    13.512900
      45      1      2  0.10876600    -6.055900     3.210300    12.467800
      46      1      2  0.10618700    -6.933500     5.464300    13.061900
      47      1      2  0.10618700    -8.154800     4.690500    14.131100
      48      1      1  0.15903500    -4.499800     4.504800    16.622000
      49      1      1  0.15948700    -4.124600     6.248900    18.291900
      50      1      2  0.10401500    -3.571100     8.450700    18.936800
      51      1      2  0.10401500    -4.767400     7.691800    20.041900
      52      1      2  0.11343400    -5.618700     9.951800    20.651200
      53      1      2  0.11343400    -4.517900    10.693500    19.515400
      54      1      1  0.14170300    -7.241800     8.619500    16.495300
      55      1      1  0.13946500    -7.619000     6.874500    14.826800
      56      1      3 -0.21171600    -3.544000     9.939500    21.276800
      57      1      3  0.01011400    -3.731600     8.941200    22.418800
      58      1      5 -0.30742300    -2.744400     9.150900    23.429700
      59      1      4  0.09918400    -1.549200     8.496900    23.331300
      60      1      4 -0.13586100    -0.692100     8.691200    24.417600
      61      1      4 -0.13602300     0.570700     8.089200    24.458100
      62      1      4  0.10217600     0.990200     7.284100    23.402000
      63      1      5 -0.30500000     2.190700     6.638800    23.306000
      64      1      3  0.01016300     3.113500     6.815900    24.379500
      65      1      3 -0.21742500     4.390100     6.040200    24.057500
      66      1      4 -0.18607400     0.135300     7.090900    22.314600
      67      1      4 -0.18660900    -1.127400     7.693500    22.274800
      68      1      2  0.10876600    -2.553900     9.820700    20.822400
      69      1      2  0.10876600    -3.549600    10.953500    21.697100
