LAMMPS data file from Part3 phase8.resolved.q.json (OPLS-AA)
# chain_id=cyclic_orth800_uid000740_sk7_rg1_pl2_random__64a1f91742b6 topology=cyclic
# assumes: units real; atom_style full; bond_style harmonic; angle_style harmonic; dihedral_style opls; improper_style cvff
# special_bonds lj/coul 0.0 0.0 0.5
# cvff improper: K=v2/2, d=-1, n=2

    1050 atoms
    1085 bonds
    1960 angles
    2765 dihedrals
     210 impropers

       6 atom types
       7 bond types
      10 angle types
      10 dihedral types
       1 improper types

    -27.795868      11.973948 xlo xhi
     -5.916524      73.433410 ylo yhi
     -4.444124      57.053720 zlo zhi

Masses

       1     1.008000 # boss_type=HA count=140
       2     1.008000 # boss_type=HC count=350
       3    12.011000 # boss_type=CF count=210
       4    12.011000 # boss_type=CA count=210
       5    15.999000 # boss_type=OS count=70
       6    18.998000 # boss_type=F count=70

Pair Coeffs

       1     0.030000     2.420000 # boss_type=HA count=140
       2     0.030000     2.500000 # boss_type=HC count=350
       3     0.066000     3.500000 # boss_type=CF count=210
       4     0.070000     3.550000 # boss_type=CA count=210
       5     0.140000     2.900000 # boss_type=OS count=70
       6     0.060000     2.900000 # boss_type=F count=70

Bond Coeffs

       1   268.000000     1.529000 # pattern=CF-CT
       2   367.000000     1.332000 # pattern=CF-F
       3   340.000000     1.090000 # pattern=CT-HC
       4   320.000000     1.410000 # pattern=CT-OS
       5   450.000000     1.364000 # pattern=CA-OS
       6   469.000000     1.400000 # pattern=CA-CA
       7   367.000000     1.080000 # pattern=CA-HA

Angle Coeffs

       1    50.000000   109.500000 # pattern=CT-CF-F
       2    58.350000   112.700000 # pattern=CT-CF-CT
       3    77.000000   109.100000 # pattern=F-CF-F
       4    37.500000   110.700000 # pattern=CF-CT-HC
       5    33.000000   107.800000 # pattern=HC-CT-HC
       6    35.000000   109.500000 # pattern=HC-CT-OS
       7    75.000000   111.000000 # pattern=CA-OS-CT
       8    70.000000   120.000000 # pattern=CA-CA-OS
       9    63.000000   120.000000 # pattern=CA-CA-CA
      10    35.000000   120.000000 # pattern=CA-CA-HA

Dihedral Coeffs

       1     0.000000     0.000000     0.360000     0.000000 # pattern=F-CF-CT-HC
       2     0.000000     0.000000     0.000000     0.000000 # pattern=CT-CT-CF-F
       3     0.000000     0.000000     0.300000     0.000000 # pattern=CT-CF-CT-HC
       4     0.850000    -0.200000     0.200000     0.000000 # pattern=CT-CF-CT-CT
       5     1.300000    -0.500000     0.000000     0.000000 # pattern=CF-CT-CT-OS
       6     0.250000    -0.250000     0.500000     0.000000 # pattern=CA-OS-CT-CT
       7     0.000000     0.000000     0.760000     0.000000 # pattern=CA-OS-CT-HC
       8     0.000000     3.370000     0.000000     0.300000 # pattern=CA-CA-OS-CT
       9     0.000000     7.250000     0.000000     0.000000 # pattern=CA-CA-CA-OS
      10     0.300000     0.000000     0.400000     0.000000 # pattern=CF-CT-CF-F

Improper Coeffs

       1     2.500000  -1   2 # pattern=CA-CA-CA-OS

Atoms

       1      1      3  0.30594700     2.824001    11.645337     3.363224
       2      1      3 -0.22722300     1.312485    11.655902     3.555295
       3      1      6 -0.16900000     3.162074    12.683852     2.548123
       4      1      6 -0.16900000     3.404085    11.922456     4.567158
       5      1      2  0.12963800     1.034955    12.627125     3.985488
       6      1      2  0.12963800     1.019585    10.911815     4.304147
       7      1      3 -0.28064600     3.468858    10.382509     2.808831
       8      1      3  0.01595500     3.243433     9.160306     3.689447
       9      1      5 -0.30583500     1.917067     8.678686     3.478356
      10      1      4  0.09559800     1.553196     7.542013     4.143840
      11      1      4 -0.13474000     0.342815     6.984127     3.731995
      12      1      4 -0.13621900    -0.141975     5.820774     4.333971
      13      1      4  0.10331700     0.569870     5.206890     5.364831
      14      1      5 -0.30517500    -0.019192     4.087297     5.881238
      15      1      3  0.00952600     0.715212     3.359035     6.866709
      16      1      3 -0.21829000    -0.082645     2.098058     7.192385
      17      1      4 -0.18684200     1.774442     5.769350     5.785449
      18      1      4 -0.18838000     2.266888     6.930825     5.173881
      19      1      2  0.13277300     3.117531    10.197143     1.787775
      20      1      2  0.13277300     4.548864    10.563166     2.742098
      21      1      2  0.11687600     3.401427     9.422508     4.741945
      22      1      2  0.11687600     3.958529     8.382130     3.396106
      23      1      1  0.15935600    -0.227706     7.451802     2.932610
      24      1      1  0.15972800    -1.085907     5.396475     3.999771
      25      1      2  0.10360300     0.830392     3.974973     7.765249
      26      1      2  0.10360300     1.698643     3.074610     6.473953
      27      1      2  0.11304600    -0.265227     1.548286     6.260308
      28      1      2  0.11304600    -1.075872     2.375380     7.563653
      29      1      1  0.14162400     2.359010     5.332386     6.588158
      30      1      1  0.13842700     3.208536     7.331299     5.534324
      31      1      3 -0.21413300     0.530636    11.460086     2.258690
      32      1      3  0.00900000    -0.971803    11.434338     2.520048
      33      1      5 -0.30780900    -1.641515    11.344960     1.255136
      34      1      4  0.09606500    -2.994977    11.439161     1.430392
      35      1      4 -0.13614300    -3.637023    12.601958     1.011710
      36      1      4 -0.13829600    -5.015963    12.735762     1.189495
      37      1      4  0.10190100    -5.743630    11.703022     1.783096
      38      1      5 -0.31039600    -7.086052    11.744160     2.037899
      39      1      3  0.00583000    -7.610360    13.028164     2.386696
      40      1      3 -0.21245700    -8.651771    12.833703     3.490248
      41      1      4 -0.18859700    -5.102137    10.512902     2.134050
      42      1      4 -0.18750800    -3.724706    10.379013     1.961813
      43      1      2  0.11580000     0.813935    10.526865     1.759995
      44      1      2  0.11580000     0.766692    12.263786     1.550746
      45      1      2  0.10287800    -1.214768    10.563950     3.140578
      46      1      2  0.10287800    -1.274730    12.350639     3.042832
      47      1      1  0.15791500    -3.064344    13.404574     0.555876
      48      1      1  0.15824500    -5.500380    13.646438     0.851505
      49      1      2  0.11598000    -6.840509    13.715992     2.754871
      50      1      2  0.11598000    -8.080192    13.465700     1.499246
      51      1      2  0.10799100    -9.096990    13.802824     3.741488
      52      1      2  0.10799100    -9.450724    12.181547     3.119501
      53      1      1  0.14113000    -5.672677     9.691902     2.559925
      54      1      1  0.13995500    -3.230063     9.455213     2.246747
      55      1      3 -0.21171600     0.613338     1.171492     8.184538
      56      1      3  0.01011400     0.736260     1.751633     9.592680
      57      1      5 -0.30742300     1.341053     0.748996    10.410597
      58      1      4  0.09918400     1.538237     1.051563    11.728738
      59      1      4 -0.13586100     1.223185     2.255065    12.355386
      60      1      4 -0.13602300     1.487803     2.423932    13.720293
      61      1      4  0.10217600     2.066899     1.398255    14.471319
      62      1      5 -0.30500000     2.278304     1.698859    15.789521
      63      1      3  0.01016300     2.835526     0.667049    16.600986
      64      1      3 -0.21742500     3.050340     1.196329    18.018151
      65      1      4 -0.18607400     2.378417     0.193093    13.844069
      66      1      4 -0.18660900     2.115355     0.025538    12.480105
      67      1      2  0.10876600     1.608206     0.897379     7.811969
      68      1      2  0.10876600     0.053743     0.228877     8.241832
      69      1      2  0.10618700    -0.260971     1.997306     9.975209
      70      1      2  0.10618700     1.367204     2.646959     9.577126
      71      1      1  0.15903500     0.769960     3.082668    11.819355
      72      1      1  0.15948700     1.237596     3.366673    14.200094
      73      1      2  0.10401500     3.808776     0.354661    16.204062
      74      1      2  0.10401500     2.161705    -0.197515    16.627181
      75      1      2  0.11343400     3.848442     1.950799    17.994938
      76      1      2  0.11343400     3.407569     0.376100    18.652596
      77      1      1  0.14170300     2.828723    -0.636817    14.377704
