kind	pattern	branch	hit_stage	hit_rank	lineno	type_id	params_json	raw	comment	boss_choice_type_id	boss_choice_params_json
dihedral	CT-CT-CT-CT	A3	exact	1	4751	3	"{""v1"":0.85,""v2"":-0.2,""v3"":0.2,""v4"":0.0}"	003   0.850    -0.200     0.200     0.0        CT-CT-CT-CT     hydrocarbon OPLS/2020	hydrocarbon OPLS/2020		"{""v1"":0.85,""v2"":-0.2,""v3"":0.2,""v4"":0.0}"
dihedral	CT-CT-CT-CT	A3	exact	2	4753	4	"{""v1"":1.1,""v2"":-0.2,""v3"":0.2,""v4"":0.0}"	004   1.100    -0.200     0.200     0.0        CT-CT-CT-CT     butane      OPLS/2020	butane OPLS/2020		"{""v1"":0.85,""v2"":-0.2,""v3"":0.2,""v4"":0.0}"
dihedral	CT-OS-C-O	A3	exact	1	5378	182	"{""v1"":0.0,""v2"":5.124,""v3"":0.0,""v4"":0.0}"	182   0.000     5.124     0.0000    0.0        O -C -OS-CT     esters			"{""v1"":0.0,""v2"":5.124,""v3"":0.0,""v4"":0.0}"
dihedral	CT-OS-C-O	A3	exact	2	5448	210	"{""v1"":0.0,""v2"":5.0,""v3"":0.0,""v4"":0.0}"	210   0.000     5.000     0.00      0.0        O -C -OS-CT     benzoic esters			"{""v1"":0.0,""v2"":5.124,""v3"":0.0,""v4"":0.0}"
dihedral	CT-CT-C-O	A3	exact	1	4892	43	"{""v1"":0.0,""v2"":0.0,""v3"":0.0,""v4"":0.0}"	043   0.000     0.000     0.000     0.0        CT-CT-C -O      peptides			"{""v1"":0.0,""v2"":0.0,""v3"":0.0,""v4"":0.0}"
dihedral	CT-CT-C-O	A3	exact	2	4960	69	"{""v1"":0.406,""v2"":1.304,""v3"":0.139,""v4"":0.0}"	069   0.406     1.304     0.139     0.0        CT-CT-C -O      propanamide OPLS-AA/M			"{""v1"":0.0,""v2"":0.0,""v3"":0.0,""v4"":0.0}"
dihedral	CT-CT-C-O	A3	exact	3	4992	95	"{""v1"":0.0,""v2"":0.546,""v3"":0.0,""v4"":0.0}"	095   0.000     0.546     0.000     0.0        CT-CT-C -O      RCOOH acid			"{""v1"":0.0,""v2"":0.0,""v3"":0.0,""v4"":0.0}"
dihedral	CT-CT-C-O	A3	exact	4	5004	105	"{""v1"":-0.75,""v2"":-0.55,""v3"":-0.25,""v4"":0.0}"	105  -0.750    -0.550    -0.250     0.0        CT-CT-C -O      dicarboxylic acid			"{""v1"":0.0,""v2"":0.0,""v3"":0.0,""v4"":0.0}"
dihedral	CT-CT-C-O	A3	exact	5	5023	114	"{""v1"":-0.277,""v2"":1.228,""v3"":-0.694,""v4"":0.0}"	114  -0.277     1.228    -0.694     0.0        CT-CT-C -O      aldehyde & ketone & acyl halide			"{""v1"":0.0,""v2"":0.0,""v3"":0.0,""v4"":0.0}"
dihedral	CT-CT-C-O	A3	exact	6	5057	139	"{""v1"":-1.0,""v2"":-1.9,""v3"":-0.9,""v4"":0.0}"	139  -1.000    -1.900    -0.900     0.0        CT-CT-C -O      1,2-diacid monoanion			"{""v1"":0.0,""v2"":0.0,""v3"":0.0,""v4"":0.0}"
dihedral	CT-CT-C-O	A3	exact	7	5880	410	"{""v1"":1.656,""v2"":1.304,""v3"":0.439,""v4"":0.0}"	410   1.656     1.304     0.439     0.0        CT-CT-C -O      Chi-2' Asn OPLS-AA/M			"{""v1"":0.0,""v2"":0.0,""v3"":0.0,""v4"":0.0}"
dihedral	C-CT-CT-HC	A3	exact	1	4961	70	"{""v1"":0.0,""v2"":0.0,""v3"":-0.1,""v4"":0.0}"	070   0.000     0.000    -0.100     0.0        HC-CT-CT-C      all carbonyls			"{""v1"":0.0,""v2"":0.0,""v3"":-0.1,""v4"":0.0}"
dihedral	C-CT-CT-HC	A3	exact	2	5003	104	"{""v1"":0.0,""v2"":0.0,""v3"":0.074,""v4"":0.0}"	104   0.0       0.0       0.074     0.0        C -CT-CT-HC     dicarboxylic acid			"{""v1"":0.0,""v2"":0.0,""v3"":-0.1,""v4"":0.0}"
dihedral	C-CT-CT-CT	A3	exact	1	4962	71	"{""v1"":-2.06,""v2"":-0.313,""v3"":0.315,""v4"":0.0}"	071  -2.060    -0.313     0.315     0.0        C -CT-CT-CT     butanamide			"{""v1"":-2.06,""v2"":-0.313,""v3"":0.315,""v4"":0.0}"
dihedral	C-CT-CT-CT	A3	exact	2	4989	93	"{""v1"":-3.185,""v2"":-0.825,""v3"":0.493,""v4"":0.0}"	093  -3.185    -0.825     0.493     0.0        CT-CT-CT-C      carboxylate ion			"{""v1"":-2.06,""v2"":-0.313,""v3"":0.315,""v4"":0.0}"
dihedral	C-CT-CT-CT	A3	exact	3	5025	116	"{""v1"":-1.697,""v2"":-0.456,""v3"":0.585,""v4"":0.0}"	116  -1.697    -0.456     0.585     0.0        CT-CT-CT-C      aldehyde & ketone & acyl halide			"{""v1"":-2.06,""v2"":-0.313,""v3"":0.315,""v4"":0.0}"
dihedral	C-CT-CT-CT	A3	exact	4	5785	346	"{""v1"":-1.751,""v2"":1.606,""v3"":0.0,""v4"":0.0}"	346  -1.751     1.606     0.000     0.0        C -CT-CT-CT     Chi-1' Leu OPLS-AA/M			"{""v1"":-2.06,""v2"":-0.313,""v3"":0.315,""v4"":0.0}"
dihedral	C-CT-CT-CT	A3	exact	5	5786	347	"{""v1"":2.994,""v2"":0.252,""v3"":0.3,""v4"":0.0}"	347   2.994     0.252     0.300     0.0        C -CT-CT-CT     Chi-1 Val,Ile OPLS-AA/M			"{""v1"":-2.06,""v2"":-0.313,""v3"":0.315,""v4"":0.0}"
dihedral	C-CT-CT-CT	A3	exact	6	5787	348	"{""v1"":-1.422,""v2"":1.068,""v3"":0.0,""v4"":0.0}"	348  -1.422     1.068     0.000     0.0        C -CT-CT-CT     Chi-1' Val,Ile OPLS-AA/M			"{""v1"":-2.06,""v2"":-0.313,""v3"":0.315,""v4"":0.0}"
dihedral	C-CT-CT-CT	A3	exact	7	5852	394	"{""v1"":-0.911,""v2"":0.699,""v3"":0.0,""v4"":0.0}"	394  -0.911     0.699     0.000     0.0        C -CT-CT-CT     Chi-1' Met OPLS-AA/M			"{""v1"":-2.06,""v2"":-0.313,""v3"":0.315,""v4"":0.0}"
dihedral	C-CT-CT-CT	A3	exact	8	5866	400	"{""v1"":-1.764,""v2"":0.7,""v3"":0.0,""v4"":0.0}"	400  -1.764     0.700     0.000     0.0        C -CT-CT-CT     Chi-1' Glu OPLS-AA/M			"{""v1"":-2.06,""v2"":-0.313,""v3"":0.315,""v4"":0.0}"
dihedral	C-CT-CT-CT	A3	exact	9	5868	402	"{""v1"":-2.538,""v2"":0.911,""v3"":0.0,""v4"":0.0}"	402  -2.538     0.911     0.000     0.0        C -CT-CT-CT     Chi-1' Gln,Glh,Lys,Lyn,Arn OPLS-AA/M			"{""v1"":-2.06,""v2"":-0.313,""v3"":0.315,""v4"":0.0}"
dihedral	C-CT-CT-CT	A3	exact	10	5872	404	"{""v1"":-1.971,""v2"":0.77,""v3"":0.0,""v4"":0.0}"	404  -1.971     0.770     0.000     0.0        C -CT-CT-CT     Chi-1' Arg OPLS-AA/M			"{""v1"":-2.06,""v2"":-0.313,""v3"":0.315,""v4"":0.0}"
dihedral	C-CT-CT-CT	A3	exact	11	5878	408	"{""v1"":-1.751,""v2"":1.606,""v3"":0.0,""v4"":0.0}"	408  -1.751     1.606     0.000     0.0        C -CT-CT-CT     Chi-1' Pro OPLS-AA/M			"{""v1"":-2.06,""v2"":-0.313,""v3"":0.315,""v4"":0.0}"
dihedral	C-CT-CT-CT	A3	exact	12	5882	412	"{""v1"":-1.267,""v2"":0.479,""v3"":-0.486,""v4"":0.0}"	412  -1.267     0.479    -0.486     0.0        CT-CT-CT-C      Chi-2  Gln OPLS-AA/M			"{""v1"":-2.06,""v2"":-0.313,""v3"":0.315,""v4"":0.0}"
dihedral	C-CT-CT-CT	A3	exact	13	5883	413	"{""v1"":-0.885,""v2"":1.025,""v3"":-1.293,""v4"":0.0}"	413  -0.885     1.025    -1.293     0.0        CT-CT-CT-C      Chi-2  Glu OPLS-AA/M			"{""v1"":-2.06,""v2"":-0.313,""v3"":0.315,""v4"":0.0}"
dihedral	C-CT-CT-CT	A3	exact	14	6000	467	"{""v1"":-4.16,""v2"":-0.76,""v3"":0.96,""v4"":0.16}"	467  -4.16     -0.76      0.96      0.16       C -CT-CT-CT     alkyl_hydantoin			"{""v1"":-2.06,""v2"":-0.313,""v3"":0.315,""v4"":0.0}"
dihedral	C-CT-CT-CA	A3	exact	1	5026	116	"{""v1"":-1.697,""v2"":-0.456,""v3"":0.585,""v4"":0.0}"	116  -1.697    -0.456     0.585     0.0        CA-CT-CT-C      aldehyde & ketone & acyl halide			"{""v1"":-1.697,""v2"":-0.456,""v3"":0.585,""v4"":0.0}"
dihedral	C-CT-CT-CA	A3	exact	2	5800	355	"{""v1"":-1.406,""v2"":1.777,""v3"":0.0,""v4"":0.0}"	355  -1.406     1.777     0.000     0.0        C -CT-CT-CA     Chi-1' Phe, Tyr OPLS-AA/M			"{""v1"":-1.697,""v2"":-0.456,""v3"":0.585,""v4"":0.0}"
angle	CT-SY-OY	A3	exact	1	1682		"{""k"":74.0,""x0"":108.9}"	OY-SY-CT    74.0      108.9			"{""k"":74.0,""x0"":108.9}"
angle	CT-SY-OY	A3	exact	2	1693		"{""k"":74.0,""x0"":110.5}"	CT-SY-OY    74.0      110.5                wlj 9/19	74.0 110.5 wlj 9/19		"{""k"":74.0,""x0"":108.9}"
angle	CT-SY-OY	A3	exact	3	3448		"{""k"":74.0,""x0"":108.9}"	OY-SY-CT    74.0      108.9			"{""k"":74.0,""x0"":108.9}"
angle	OY-SY-OY	A3	exact	1	2543		"{""k"":104.0,""x0"":123.0}"	OY-SY-OY   104.0      123.0      wlj 9/19 from MeSO2F	104.0 123.0 wlj 9/19 from MeSO2F		"{""k"":104.0,""x0"":123.0}"
angle	OY-SY-OY	A3	exact	2	3444		"{""k"":104.0,""x0"":119.0}"	OY-SY-OY   104.0      119.0	104.0 119.0		"{""k"":104.0,""x0"":123.0}"
dihedral	HC-CT-CT-SY	A3	exact	1	4861	28	"{""v1"":0.0,""v2"":0.0,""v3"":0.452,""v4"":0.0}"	028   0.000     0.000     0.452     0.0        HC-CT-CT-SY			"{""v1"":0.0,""v2"":0.0,""v3"":0.452,""v4"":0.0}"
dihedral	HC-CT-CT-SY	A3	exact	2	5592	239	"{""v1"":0.0,""v2"":0.0,""v3"":0.35,""v4"":0.0}"	239   0.0       0.0       0.3500    0.0        HC-CT-CT-SY     sulfone	sulfone		"{""v1"":0.0,""v2"":0.0,""v3"":0.452,""v4"":0.0}"
bond	CP-SA	A3	exact	1	328		"{""k"":250.0,""x0"":1.74}"	CP-SA 250.       1.74         wlj	250. 1.74 wlj		"{""k"":250.0,""x0"":1.74}"
bond	CP-SA	A3	exact	2	465		"{""k"":250.0,""x0"":1.71}"	"CP-SA 250.       1.71           MKD New Thiophene -MP2(full)/6-311G(d,p), JT-R 2014/04 change ""S "" to SA"	"250. 1.71 MKD New Thiophene -MP2(full)/6-311G(d,p), JT-R 2014/04 change ""S "" to SA"		"{""k"":250.0,""x0"":1.74}"
dihedral	C-CT-CT-C	A3	exact	1	4999	101	"{""v1"":-0.55,""v2"":0.0,""v3"":1.0,""v4"":0.0}"	101  -0.550     0.000     1.000     0.0        C -CT-CT-C      dicarboxylic acid			"{""v1"":-0.55,""v2"":0.0,""v3"":1.0,""v4"":0.0}"
dihedral	C-CT-CT-C	A3	exact	2	5058	140	"{""v1"":0.8,""v2"":0.0,""v3"":0.9,""v4"":0.0}"	140   0.800     0.000     0.900     0.0        C -CT-CT-C      1,2-diacid monoanion			"{""v1"":-0.55,""v2"":0.0,""v3"":1.0,""v4"":0.0}"
dihedral	C-CT-CT-C	A3	exact	3	5858	396	"{""v1"":1.543,""v2"":0.696,""v3"":0.0,""v4"":0.0}"	396   1.543     0.696     0.000     0.0        C -CT-CT-C      Chi-1' Asp,Ash OPLS-AA/M			"{""v1"":-0.55,""v2"":0.0,""v3"":1.0,""v4"":0.0}"
