variant,fold,selected_accuracy,log_best90,metrics_best90,log_last_epoch,source_run_id
FRPN_v0_s1,0,0.8759615384615385,0.876,0.8759615384615385,90,BCDB_mtx_5fold_1135783_60
FRPN_v0_s1,1,0.7399193548387096,0.7399,0.7399193548387096,90,BCDB_mtx_5fold_1135783_61
FRPN_v0_s1,2,0.6844758064516129,0.6845,0.6844758064516129,90,BCDB_mtx_5fold_1135783_62
FRPN_v0_s1,3,0.7430795847750865,0.7431,0.7430795847750865,90,BCDB_mtx_5fold_1135783_63
FRPN_v0_s1,4,0.7249163879598662,0.7249,0.7249163879598662,90,BCDB_mtx_5fold_1135783_64
FRPN_v1_s0,0,0.8846153846153846,0.8846,0.8846153846153846,100,BCDB_s2smiles_anchor_5fold_1138259_10
FRPN_v1_s0,1,0.8407258064516129,0.8407,0.8407258064516129,100,BCDB_s2smiles_anchor_5fold_1138259_11
FRPN_v1_s0,2,0.9102822580645161,0.9103,0.9102822580645161,100,BCDB_s2smiles_anchor_5fold_1138259_12
FRPN_v1_s0,3,0.8849480968858131,0.8849,0.8849480968858131,100,BCDB_s2smiles_anchor_5fold_1138259_13
FRPN_v1_s0,4,0.7984949832775919,0.7985,0.7984949832775919,100,BCDB_s2smiles_anchor_5fold_1138259_14
FRPN_v0_s0,0,0.6855769230769231,0.6856,0.6855769230769231,100,BCDB_repair16_wovolsafe_1138695_11
FRPN_v0_s0,1,0.6471774193548387,0.6472,0.6471774193548387,100,BCDB_repair16_wovolsafe_1138695_12
FRPN_v0_s0,2,0.6502016129032258,0.6502,0.6502016129032258,100,BCDB_repair16_wovolsafe_1138695_13
FRPN_v0_s0,3,0.8174740484429066,0.8175,0.8174740484429066,100,BCDB_repair16_wovolsafe_1138695_14
FRPN_v0_s0,4,0.7316053511705686,0.7316,0.7316053511705686,100,BCDB_repair16_wovolsafe_1138695_15
